new_id,hitness
Easy On Me%:%Adele,220
Stay%:%The Kid LAROI,1500
Industry Baby%:%Lil Nas X,1190
Fancy Like%:%Walker Hayes,1270
Bad Habits%:%Ed Sheeran,1540
Way 2 Sexy%:%Drake Featuring Future,710
Shivers%:%Ed Sheeran,480
Good 4 U%:%Olivia Rodrigo,2070
Need To Know%:%Doja Cat,900
Levitating%:%Dua Lipa,1270
Essence%:%Wizkid Featuring Justin Bieber,780
Kiss Me More%:%Doja Cat Featuring SZA,2400
Heat Waves%:%Glass Animals,1500
Beggin'%:%Maneskin,720
Cold Heart (PNAU Remix)%:%Elton John,260
You Right%:%Doja Cat,1040
Save Your Tears%:%The Weeknd,3200
If I Didn't Love You%:%Jason Aldean,520
Traitor%:%Olivia Rodrigo,940
My Universe%:%Coldplay x BTS,340
Who Want Smoke??%:%Nardo Wick Featuring G Herbo,160
Knife Talk%:%Drake Featuring 21 Savage,580
Meet Me At Our Spot%:%THE ANXIETY: WILLOW,180
Montero (Call Me By Your Name)%:%Lil Nas X,2260
Chasing After You%:%Ryan Hurd With Maren Morris,680
Girls Want Girls%:%Drake Featuring Lil Baby,470
Moth To A Flame%:%Swedish House Mafia,40
Let's Go Brandon%:%Bryson Gray Featuring Tyson James,40
Thats What I Want%:%Lil Nas X,280
Pepas%:%Farruko,480
Love Nwantiti (Ah Ah Ah)%:%CKay,200
Take My Breath%:%The Weeknd,560
Happier Than Ever%:%Billie Eilish,560
Wockesha%:%Moneybagg Yo,880
Better Days%:%NEIKED X Mae Muller X Polo G,60
Buy Dirt%:%Jordan Davis Featuring Luke Bryan,300
Ghost%:%Justin Bieber,160
Lets Go Brandon%:%Loza Alexander,60
Cold As You%:%Luke Combs,280
A-O-K%:%Tai Verdes,460
You Should Probably Leave%:%Chris Stapleton,360
Leave The Door Open%:%Silk Sonic (Bruno Mars,2320
Thinking 'Bout You%:%Dustin Lynch Featuring Lauren Alaina Or MacKenzie Porter,220
Memory I Don't Mess With%:%Lee Brice,340
Bubbly%:%Young Thug With Drake,80
Wild Side%:%Normani Featuring Cardi B,340
Sharing Locations%:%Meek Mill Featuring Lil Baby,240
Gyalis%:%Capella Grey,280
I Was On A Boat That Day%:%Old Dominion,360
Family Ties%:%Baby Keem,260
Have Mercy%:%Chloe,160
Fair Trade%:%Drake Featuring Travis Scott,370
Same Boat%:%Zac Brown Band,120
My Boy%:%Elvie Shane,400
Hurricane%:%Kanye West,320
Chosen%:%Blxst,100
Baddest%:%Yung Bleu,260
Knowing You%:%Kenny Chesney,220
Memory%:%Kane Brown X blackbear,320
Cold Beer Calling My Name%:%Jameson Rodgers Featuring Luke Combs,420
Not In The Mood%:%Lil Tjay,20
Pissed Me Off%:%Lil Durk,60
Woman%:%Doja Cat,260
Sand In My Boots%:%Morgan Wallen,400
'Til You Can't%:%Cody Johnson,60
Love Again%:%Dua Lipa,300
Whiskey And Rain%:%Michael Ray,80
One Mississippi%:%Kane Brown,100
Switches & Dracs%:%Moneybagg Yo Featuring Lil Durk,20
Jugaste y Sufri%:%Eslabon Armado Featuring DannyLux,80
Too Easy%:%Gunna,120
Esta Danada%:%Ivan Cornejo,80
Volvi%:%Aventura x Bad Bunny,300
Tequila Little Time%:%Jon Pardi,60
Whole Lotta Money%:%BIA Featuring Nicki Minaj,400
2055%:%Sleepy Hallow,300
Maybach%:%42 Dugg Featuring Future,100
WFM%:%Realestk,60
Poke It Out%:%Wale Featuring J. Cole,20
Praise God%:%Kanye West,140
Lo Siento BB:/%:%Tainy,60
Freedom Was A Highway%:%Jimmie Allen,60
For Tonight%:%Giveon,80
Thot Shit%:%Megan Thee Stallion,700
Like A Lady%:%Lady A,60
Get Into It (Yuh)%:%Doja Cat,240
Scorpio%:%Moneybagg Yo,20
Big Energy%:%Latto,20
Half Of My Hometown%:%Kelsea Ballerini Featuring Kenny Chesney,20
Money%:%Lisa,20
No Friends In The Industry%:%Drake,240
"Ya Superame (En Vivo Desde Culiacan, Sinaloa)%:%Grupo Firme",40
Who's In Your Head%:%Jonas Brothers,60
In The Bible%:%Drake Featuring Lil Durk,240
Just About Over You%:%Priscilla Block,60
To Be Loved By You%:%Parker McCollum,20
Ain't Shit%:%Doja Cat,360
Life Goes On%:%Oliver Tree,40
Come Through%:%H.E.R. Featuring Chris Brown,320
Nevada%:%YoungBoy Never Broke Again,80
Leave Before You Love Me%:%Marshmello X Jonas Brothers,800
Deja Vu%:%Olivia Rodrigo,1870
Ex For A Reason%:%Summer Walker,20
Late At Night%:%Roddy Ricch,660
Livin It Up%:%Young Thug With Post Malone,20
Stressed%:%Young Thug With J. Cole,20
Rich N***a Shit%:%Young Thug With Juice WRLD,20
Yonaguni%:%Bad Bunny,580
Champagne Poetry%:%Drake,270
Let Somebody Go%:%Coldplay X Selena Gomez,20
You Time%:%Scotty McCreery,240
Peepin Out The Window%:%Young Thug With Future,20
Woo Baby%:%Pop Smoke Featuring Chris Brown,60
Flocky Flocky%:%Don Toliver Featuring Travis Scott,40
Peaches%:%Justin Bieber Featuring Daniel Caesar,2040
Todo de Ti%:%Rauw Alejandro,460
Drinkin' Beer. Talkin' God. Amen.%:%Chase Rice Featuring Florida Georgia Line,520
Your Heart%:%Joyner Lucas,80
Summer Of Love%:%Shawn Mendes,160
Waves%:%Luke Bryan,440
Life Support%:%YoungBoy Never Broke Again,100
Bad Morning%:%YoungBoy Never Broke Again,80
Intro (Hate On Me)%:%Meek Mill,40
Drunk (And I Don't Wanna Go Home)%:%Elle King,480
Butter%:%BTS,1630
Hot%:%Meek Mill Featuring Moneybagg Yo,20
Expensive Pain%:%Meek Mill,20
On My Soul%:%Meek Mill,20
Blue Note$ II%:%Meek Mill Featuring Lil Uzi Vert,40
Outside (100 MPH)%:%Meek Mill,20
Last One Standing%:%Skylar Grey,20
The Feels%:%TWICE,20
Me (FWM)%:%Meek Mill Featuring A$AP Ferg,20
Love Train%:%Meek Mill,20
Feelin Like Tunechi%:%Lil Wayne Featuring Rich The Kid,20
Ride For You%:%Meek Mill Featuring Kehlani,20
TSU%:%Drake,180
Love All%:%Drake Featuring JAY-Z,180
No Where%:%YoungBoy Never Broke Again,60
On My Side%:%YoungBoy Never Broke Again,60
Things A Man Oughta Know%:%Lainey Wilson,500
Hold Me Down%:%YoungBoy Never Broke Again,20
50 Shots%:%YoungBoy Never Broke Again,20
Smoke Strong%:%YoungBoy Never Broke Again,20
Break Or Make Me%:%YoungBoy Never Broke Again,20
Sincerely%:%YoungBoy Never Broke Again,20
I Can't Take It Back%:%YoungBoy Never Broke Again,20
Rumors%:%Lizzo Featuring Cardi B,270
Forgiato%:%YoungBoy Never Broke Again,20
Rich Shit%:%YoungBoy Never Broke Again,20
N 2 Deep%:%Drake Featuring Future,140
Baddest Thing%:%YoungBoy Never Broke Again,20
Pipe Down%:%Drake,120
Papi's Home%:%Drake,140
Toxic Punk%:%YoungBoy Never Broke Again,20
Moon%:%Kanye West,140
Wildest Dreams (Taylor's Version)%:%Taylor Swift,40
Arcade%:%Duncan Laurence,520
Scoop%:%Lil Nas X Featuring Doja Cat,20
Dolla Sign Slime%:%Lil Nas X Featuring Megan Thee Stallion,20
Lonely%:%DaBaby X Lil Wayne,40
Dead Right Now%:%Lil Nas X,20
Tales Of Dominica%:%Lil Nas X,20
One Of Me%:%Lil Nas X Featuring Elton John,20
Race My Mind%:%Drake,100
Lost In The Citadel%:%Lil Nas X,20
Sun Goes Down%:%Lil Nas X,40
7am On Bridle Path%:%Drake,100
Off The Grid%:%Kanye West,120
In Da Getto%:%J Balvin,60
Skate%:%Silk Sonic (Bruno Mars,260
Am I Dreaming%:%Lil Nas X Featuring Miley Cyrus,20
Don't Go Yet%:%Camila Cabello,180
Country Again%:%Thomas Rhett,400
Range Brothers%:%Baby Keem,20
Every Chance I Get%:%DJ Khaled Featuring Lil Baby,760
IMY2%:%Drake Featuring Kid Cudi,60
Yebba's Heartbreak%:%Drake,60
Get Along Better%:%Drake Featuring Ty Dolla $ign,60
You Only Live Twice%:%Drake Featuring Lil Wayne,60
Lalisa%:%Lisa,20
Fountains%:%Drake Featuring Tems,60
Single Saturday Night%:%Cole Swindell,500
We Didn't Have Much%:%Justin Moore,260
Jail%:%Kanye West,120
Fucking Fans%:%Drake,40
The Remorse%:%Drake,40
Ok Ok%:%Kanye West,80
Junya%:%Kanye West,80
Believe What I Say%:%Kanye West,60
Jonah%:%Kanye West,60
Jesus Lord%:%Kanye West,60
Motley Crew%:%Post Malone,280
Remote Control%:%Kanye West,60
God Breathed%:%Kanye West,40
Heartbreak Anniversary%:%Giveon,1320
Forever After All%:%Luke Combs,1570
Heaven And Hell%:%Kanye West,20
24%:%Kanye West,20
Pure Souls%:%Kanye West,20
No Child Left Behind%:%Kanye West,20
Donda%:%Kanye West,20
Keep My Spirit Alive%:%Kanye West,20
Jail Pt 2%:%Kanye West,20
"I Am Not A Woman, I'm A God%:%Halsey",20
New Again%:%Kanye West,20
Lord I Need You%:%Kanye West,20
Come To Life%:%Kanye West,20
Tell The Vision%:%Kanye West,20
Brutal%:%Olivia Rodrigo,340
AM%:%Nio Garcia X J Balvin X Bad Bunny,200
Repeat It%:%Lil Tecca,60
Matt Hardy 999%:%Trippie Redd Featuring Juice WRLD,40
Blinding Lights%:%The Weeknd,6730
Glad You Exist%:%Dan + Shay,740
Without You%:%The Kid LAROI,1580
Astronaut In The Ocean%:%Masked Wolf,1640
Rapstar%:%Polo G,1290
Famous Friends%:%Chris Young + Kane Brown,660
Lil Bit%:%Nelly,660
Beautiful Mistakes%:%Maroon 5 Featuring Megan Thee Stallion,1080
Rich MF%:%Trippie Redd Featuring Lil Durk,20
Already Won%:%Rod Wave Featuring Lil Durk,20
Betrayal%:%Trippie Redd Featuring Drake,20
Don't Go%:%Skrillex,20
Tombstone%:%Rod Wave,520
Visiting Hours%:%Ed Sheeran,20
Holy Smokes%:%Trippie Redd Featuring Lil Uzi Vert,60
Miss The Rage%:%Trippie Redd,260
You%:%Regard x Troye Sivan x Tate McRae,220
MP5%:%Trippie Redd Featuring SoFaygo,20
Paralyzed%:%Sueco,40
I Guess I'm In Love%:%Clinton Kane,20
Get Ready%:%Rod Wave Featuring Kodak Black,20
Danny Phantom%:%Trippie Redd Featuring XXXTENTACION,20
What's Wrong%:%Rod Wave,20
Demon Time%:%Trippie Redd Featuring Ski Mask The Slump God,20
Tick Tock%:%Young Thug,20
Permission To Dance%:%BTS,360
Time Heals%:%Rod Wave,20
Mind Of Melvin%:%YNW Melly Featuring Lil Uzi Vert,20
Papercuts%:%Machine Gun Kelly,20
SUVs (Black On Black)%:%Jack Harlow,40
Straightenin%:%Migos,320
Blame It On You%:%Jason Aldean,440
Hats Off%:%Lil Baby,260
Over The Top%:%Smiley Featuring Drake,80
Brainwashed%:%Tom MacDonald,20
my.life%:%J. Cole,390
WUSYANAME%:%Tyler,180
Favorite Crime%:%Olivia Rodrigo,360
Outside%:%MO3 X OG Bobby Billions,140
Ball If I Want To%:%DaBaby,200
Next Girl%:%Carly Pearce,80
I Like Dat%:%T-Pain,20
Steal My Love%:%Dan + Shay,20
5500 Degrees%:%EST Gee Featuring Lil Baby,40
Telepatia%:%Kali Uchis,780
My Ex's Best Friend%:%Machine Gun Kelly X blackbear,1540
NDA%:%Billie Eilish,120
EPMD 2%:%Nas Featuring Eminem,20
Lose%:%KSI x Lil Wayne,20
I Hope Ur Miserable Until Ur Dead%:%Nessa Barrett,20
Not Sober%:%The Kid LAROI Featuring Polo G,60
Happier%:%Olivia Rodrigo,360
Twerkulator%:%City Girls,180
Fiel%:%Los Legendarios,180
Rare%:%Nas,20
Best Friend%:%Saweetie Featuring Doja Cat,1300
Mood%:%24kGoldn Featuring iann dior,3600
One Too Many%:%Keith Urban Duet With P!nk,680
Getting Older%:%Billie Eilish,20
Billie Bossa Nova%:%Billie Eilish,20
Oxytocin%:%Billie Eilish,20
I Didn't Change My Number%:%Billie Eilish,20
Way Less Sad%:%AJR,300
Lost Cause%:%Billie Eilish,100
Halley's Comet%:%Billie Eilish,20
My Future%:%Billie Eilish,220
Build A Bitch%:%Bella Poarch,240
From The Garden%:%Isaiah Rashad Featuring Lil Uzi Vert,20
Working%:%Tate McRae X Khalid,120
Wants And Needs%:%Drake Featuring Lil Baby,850
Settling Down%:%Miranda Lambert,400
Gone%:%Dierks Bentley,500
Red Light Green Light%:%DaBaby,100
Better Believe%:%Belly,20
Lick Back%:%EST Gee,20
Ski%:%Young Thug,360
Minimum Wage%:%Blake Shelton,240
Still Chose You%:%The Kid LAROI Featuring Mustard,20
Drivers License%:%Olivia Rodrigo,2050
Tell The Vision%:%Pop Smoke Featuring Kanye West,20
pov%:%Ariana Grande,520
Bout A Million%:%Pop Smoke Featuring 21 Savage,20
Mr. Jones%:%Pop Smoke Featuring Future,20
More Time%:%Pop Smoke,20
Manslaughter%:%Pop Smoke Featuring Rick Ross,20
Demeanor%:%Pop Smoke Featuring Dua Lipa,20
transparentsoul%:%Willow Featuring Travis Barker,120
Am I The Only One%:%Aaron Lewis,80
30%:%Pop Smoke Featuring Bizzy Banks,20
"Jealousy, Jealousy%:%Olivia Rodrigo",200
Calling My Phone%:%Lil Tjay Featuring 6LACK,1150
Breaking Up Was Easy In The 90's%:%Sam Hunt,440
The Jackie%:%Bas With J. Cole,20
Follow You%:%Imagine Dragons,300
Volando%:%Mora,20
4 Da Gang%:%42 Dugg,280
De Museo%:%Bad Bunny,20
Wasting Time%:%Brent Faiyaz Featuring Drake,40
All I Know So Far%:%P!nk,100
Levitating%:%Dua Lipa Featuring DaBaby,2780
Track Star%:%Mooski,560
Renegade%:%Big Red Machine Featuring Taylor Swift,20
Cry No More%:%G Herbo Featuring Polo G,20
Essence%:%Wizkid Featuring Tems,20
Made For You%:%Jake Owen,440
Having Our Way%:%Migos Featuring Drake,120
What's Next%:%Drake,670
Enough For You%:%Olivia Rodrigo,180
Juggernaut%:%Tyler,60
Tell Em%:%Cochise,80
Lemonhead%:%Tyler,20
Lumberjack%:%Tyler,40
Almost Maybes%:%Jordan Davis,460
Hot Wind Blows%:%Tyler,20
Corso%:%Tyler,20
I Don't Do Drugs%:%Doja Cat Featuring Ariana Grande,20
Sir Baudelaire%:%Tyler,20
Sweet / I Thought You Wanted To Dance%:%Tyler,20
Massa%:%Tyler,20
RunItUp%:%Tyler,20
Manifesto%:%Tyler,20
Wilshire%:%Tyler,20
Rise!%:%Tyler,20
What You Know Bout Love%:%Pop Smoke,1780
Time Today%:%Moneybagg Yo,460
Up%:%Cardi B,1370
Beat Box%:%SpotemGottem Featuring Pooh Shiesty Or DaBaby,900
Nobody%:%Dylan Scott,340
No Return%:%Polo G Featuring The Kid LAROI,60
No More Parties%:%Coi Leray Featuring Lil Durk,560
Quicksand%:%Morray,400
Gang Gang%:%Polo G,120
Pick Up Your Feelings%:%Jazmine Sullivan,400
Avalanche%:%Migos,60
We're Good%:%Dua Lipa,420
pride.is.the.devil%:%J. Cole,200
Still Runnin%:%Lil Baby,60
How It Feels%:%Lil Baby,80
Black Hearted%:%Polo G,20
Painting Pictures%:%Polo G,20
Modern Day%:%Migos,20
Toxic%:%Polo G,20
Solar Power%:%Lorde,20
Malibu%:%Migos Featuring Polo G,20
Type Shit%:%Migos,20
Clueless%:%Polo G Featuring Pop Smoke,20
Voice Of The Heroes%:%Lil Baby,80
Heart Of A Giant%:%Polo G Featuring Rod Wave,20
Party Lyfe%:%Polo G Featuring DaBaby,20
Go Part 1%:%Polo G Featuring G Herbo,20
Epidemic%:%Polo G,80
Boom%:%Polo G,20
2040%:%Lil Baby,60
"1 Step Forward, 3 Steps Back%:%Olivia Rodrigo",140
Bloody Canvas%:%Polo G,20
Who I Want%:%Lil Baby,20
Back In Blood%:%Pooh Shiesty Featuring Lil Durk,1040
Still Hood%:%Lil Baby,20
Okay%:%Lil Baby,20
Man Of My Word%:%Lil Baby,20
Medical%:%Lil Baby,20
Rich Off Pain%:%Lil Baby,20
Lying%:%Lil Baby,20
Snowflakes%:%Tom MacDonald,20
That's Facts%:%Lil Baby,20
Your Power%:%Billie Eilish,200
Please%:%Lil Baby,20
Up The Side%:%Lil Baby,20
Hope Ur OK%:%Olivia Rodrigo,80
If You Want To%:%Lil Baby,20
Seeing Green%:%Nicki Minaj,120
The Good Ones%:%Gabby Barrett,720
Hell Of A View%:%Eric Church,520
On Me%:%Lil Baby,960
