new_id,sentiment
Goosebumps%:%Travis Scott,0.9938
All I Want For Christmas Is You%:%Mariah Carey,0.9805
Rockin' Around The Christmas Tree%:%Brenda Lee,0.9868
Jingle Bell Rock%:%Bobby Helms,0.8442
A Holly Jolly Christmas%:%Burl Ives,0.9966
It's The Most Wonderful Time Of The Year%:%Andy Williams,0.9973
Feliz Navidad%:%Jose Feliciano,0.9992
"Let It Snow, Let It Snow, Let It Snow%:%Dean Martin",0.8817
The Christmas Song (Merry Christmas To You)%:%Nat King Cole,0.8807
Underneath The Tree%:%Kelly Clarkson,0.9956
Last Christmas%:%Wham!,0.9995
Sleigh Ride%:%The Ronettes,0.9826
It's Beginning To Look A Lot Like Christmas%:%Perry Como And The Fontane Sisters With Mitchell Ayres And His Orchestra,0.0
Rudolph The Red-Nosed Reindeer%:%Gene Autry,0.996
Santa Tell Me%:%Ariana Grande,0.9983
Christmas (Baby Please Come Home)%:%Darlene Love,0.9976
White Christmas%:%Bing Crosby,0.9501
(There's No Place Like) Home For The Holidays%:%Perry Como,0.983
It's Beginning To Look A Lot Like Christmas%:%Michael Buble,0.9945
Here Comes Santa Claus (Right Down Santa Claus Lane)%:%Gene Autry,0.987
Wonderful Christmastime%:%Paul McCartney,0.9968
Thriller%:%Michael Jackson,0.7889
Lucid Dreams%:%Juice WRLD,0.9986
Legends%:%Juice WRLD,-0.9709
Sunflower (Spider-Man: Into The Spider-Verse)%:%Post Malone,-0.765
Without Me%:%Halsey,-0.5747
Speechless%:%Dan + Shay,0.1326
Happier%:%Marshmello,0.9966
Sweet But Psycho%:%Ava Max,0.9864
Better%:%Khalid,0.9622
Going Bad%:%Meek Mill Featuring Drake,0.9281
24/7%:%Meek Mill Featuring Ella Mai,0.996
Shallow%:%Lady Gaga,0.443
High Hopes%:%Panic! At The Disco,0.998
Sicko Mode%:%Travis Scott,0.0
Wake Up%:%Travis Scott,0.9951
Eastside%:%benny blanco,0.9938
Look Back At It%:%A Boogie Wit da Hoodie,0.9988
Ocean Eyes%:%Billie Eilish,-0.9018
When The Party's Over%:%Billie Eilish,0.9976
Envy Me%:%Calboy,-0.9559
Beautiful Crazy%:%Luke Combs,0.9832
Close Friends%:%Lil Baby,-0.9466
Girls Like You%:%Maroon 5 Featuring Cardi B,0.9998
Be Alright%:%Dean Lewis,0.9707
Drip Too Hard%:%Lil Baby,-0.9985
"Thank U, Next%:%Ariana Grande",0.0
You Should See Me In A Crown%:%Billie Eilish,0.8948
You Say%:%Lauren Daigle,0.875
Youngblood%:%5 Seconds Of Summer,0.3527
Better Now%:%Post Malone,0.9972
Bad Liar%:%Imagine Dragons,-0.9962
Saturday Nights%:%Khalid,-0.961
Pure Cocaine%:%Lil Baby,0.8715
This Is It%:%Scotty McCreery,0.9851
Tequila%:%Dan + Shay,0.6832
Money%:%Cardi B,-0.9977
ZEZE%:%Kodak Black Featuring Travis Scott,0.0
Twerk%:%City Girls Featuring Cardi B,0.4631
Lovely%:%Billie Eilish,0.9932
Millionaire%:%Chris Stapleton,0.9958
Girl Like You%:%Jason Aldean,0.9979
I Like It%:%Cardi B,0.9991
Calling My Spirit%:%Kodak Black,0.9313
Ella Quiere Beber%:%Anuel AA,-0.928
Wake Up In The Sky%:%Gucci Mane X Bruno Mars X Kodak Black,0.0
Always Remember Us This Way%:%Lady Gaga,-0.9532
Leave Me Alone%:%Flipp Dinero,-0.9998
Mo Bamba%:%Sheck Wes,-0.9973
Armed And Dangerous%:%Juice WRLD,-0.6413
I'll Never Love Again%:%Lady Gaga,-0.7888
This Feeling%:%The Chainsmokers Featuring Kelsea Ballerini,0.2628
Imagine%:%Ariana Grande,0.9959
Sixteen%:%Thomas Rhett,0.9906
Yosemite%:%Travis Scott,0.99
Good Girl%:%Dustin Lynch,0.9984
Arms Around You%:%XXXTENTACION x Lil Pump Featuring Maluma,0.0
Uproar%:%Lil Wayne,-0.9798
Burning Man%:%Dierks Bentley Featuring Brothers Osborne,0.9791
You%:%Jacquees,-0.9967
Talk To Me%:%Tory Lanez,0.9631
Alone%:%Marshmello,-0.9822
Breathin%:%Ariana Grande,0.8873
Trip%:%Ella Mai,0.9591
Love Lies%:%Khalid,0.9896
Beautiful%:%Bazzi Featuring Camila Cabello,0.9996
No Stylist%:%French Montana Featuring Drake,-0.977
Best Shot%:%Jimmie Allen,0.9977
BAD!%:%XXXTENTACION,0.9646
Blue Tacoma%:%Russell Dickerson,0.9954
Natural%:%Imagine Dragons,0.9975
Consequences%:%Camila Cabello,0.9982
She Got The Best Of Me %:%Luke Combs,0.9967
Fine China%:%Future,-0.9201
Nuketown%:%Ski Mask The Slump God Featuring Juice WRLD,-0.9979
Space Cadet%:%Metro Boomin Featuring Gunna,0.9931
Good Form%:%Nicki Minaj Featuring Lil Wayne,0.9982
Last Shot%:%Kip Moore,0.5994
Lost In Japan%:%Shawn Mendes X Zedd,0.0
KIKA%:%6ix9ine Featuring Tory Lanez,-0.9986
Lucky You%:%Eminem Featuring Joyner Lucas,0.9961
Drunk Me%:%Mitchell Tenpenny,0.9705
Dangerous%:%Meek Mill Featuring Jeremih,-0.9926
whoa (mind in awe)%:%XXXTENTACION,0.9144
Happy Xmas (War Is Over)%:%John,-0.9389
Cozy Little Christmas%:%Katy Perry,0.9935
The Christmas Song%:%Lauren Daigle,0.9601
MoshPit%:%Kodak Black Featuring Juice WRLD,-0.9809
Testimony%:%Kodak Black,-0.9421
Gnarly%:%Kodak Black Featuring Lil Pump,0.6122
Uptown Vibes%:%Meek Mill Featuring Fabolous,0.1813
MAMA%:%6ix9ine Featuring Nicki Minaj,-0.9345
Broken%:%lovelytheband,-0.9928
Guardian Angel%:%XXXTENTACION,-0.9831
God Is A Woman%:%Ariana Grande,0.9982
I Don't Let Go%:%XXXTENTACION,-0.9942
What's Free%:%Meek Mill Featuring Rick Ross,0.8788
One Minute%:%XXXTENTACION Featuring Kanye West,0.5818
Train Food%:%XXXTENTACION,-0.9659
What Are You So Afraid Of%:%XXXTENTACION,0.8738
Staring At The Sky%:%XXXTENTACION,0.6822
Lie%:%NF,0.9987
WAKA%:%6ix9ine Featuring A Boogie Wit da Hoodie,-0.9922
On Me%:%Meek Mill Featuring Cardi B,-0.9999
Difference (Interlude)%:%XXXTENTACION,-0.5759
TIC TOC%:%6ix9ine Featuring Lil Baby,-0.9371
That's On Me%:%Yella Beezy,0.9958
FEFE%:%6ix9ine Featuring Nicki Minaj,-0.9923
Intro%:%Meek Mill,-0.9914
Respect The Game%:%Meek Mill,-0.9811
Ring%:%Cardi B Featuring Kehlani,0.593
Trauma%:%Meek Mill,-0.9851
Time%:%Lil Baby Featuring Meek Mill,0.9953
Ready%:%Lil Baby Featuring Gunna,0.9886
Championships%:%Meek Mill,-0.9975
Tic Tac Toe%:%Meek Mill Featuring Kodak Black,-0.9973
Almost Slipped%:%Meek Mill,0.9969
Splash Warning%:%Meek Mill Featuring Future,0.6341
Pay You Back%:%Meek Mill Featuring 21 Savage,-0.9954
Foot Fungus%:%Ski Mask The Slump God,-0.9734
Crush A Lot%:%Lil Baby,-0.9961
Oodles O' Noodles Babies%:%Meek Mill,-0.9966
STOOPID%:%6ix9ine Featuring Bobby Shmurda,-0.9941
Global%:%Lil Baby,-0.9769
Word On The Street%:%Lil Baby,-0.9924
In My Feelings%:%Drake,-0.9758
Lose It%:%Kane Brown,-0.4196
Yes Indeed%:%Lil Baby,-0.0752
Nonstop%:%Drake,0.2019
Boo'd Up%:%Ella Mai,0.9985
Topanga%:%Trippie Redd,-0.9992
Come Out And Play%:%Billie Eilish,0.9861
10 Freaky Girls%:%Metro Boomin Featuring 21 Savage,-0.6519
1400 / 999 Freestyle%:%Trippie Redd Featuring Juice WRLD,-0.9977
I'm A Mess%:%Bebe Rexha,0.9978
Hangin' On%:%Chris Young,0.9881
Never Recover%:%Lil Baby,0.9531
BEBE%:%6ix9ine Featuring Anuel AA,0.3736
Rich%:%Maren Morris,0.9892
Best Part%:%Daniel Caesar Featuring H.E.R.,0.9986
Don't Come Out The House%:%Metro Boomin Featuring 21 Savage,-0.9851
I Love It%:%Kanye West,-0.9956
Falling Down%:%Lil Peep,0.5742
Noticed%:%Lil Mosey,-0.9705
I Like Me Better%:%Lauv,0.9988
Psycho%:%Post Malone Featuring Ty Dolla $ign,-0.9875
Sad!%:%XXXTENTACION,-0.9933
