"hitness","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","duration_ms","time_signature","popularity","sentiment"
TRUE,0.841,0.728,"7",-3.37,"1",0.0484,0.0847,0,0.149,0.43,130.049,243837,4,17532.3333333333,0.9938
TRUE,0.336,0.627,"7",-7.463,"1",0.0384,0.164,0,0.0708,0.35,150.273,241107,4,2772.14285714286,0.9805
TRUE,0.589,0.472,"8",-8.749,"1",0.0502,0.614,0,0.505,0.898,67.196,126267,4,410,0.9868
TRUE,0.754,0.424,"2",-8.463,"1",0.0363,0.643,0,0.0652,0.806,119.705,130973,4,281,0.8442
TRUE,0.683,0.375,"0",-13.056,"1",0.0303,0.579,0,0.076,0.888,140.467,135533,4,1169,0.9966
TRUE,0.24,0.598,"7",-8.435,"1",0.0369,0.766,0,0.117,0.776,201.629,151933,3,1144,0.9973
TRUE,0.485,0.857,"2",-7.059,"1",0.0442,0.534,0,0.347,0.963,148.749,182360,4,170,0.9992
TRUE,0.451,0.24,"1",-14.014,"1",0.0351,0.912,2.45e-06,0.175,0.701,134.009,117147,4,848,0.8817
TRUE,0.319,0.21,"1",-15.231,"1",0.0341,0.92,8.06e-05,0.138,0.209,78.696,192160,4,1009.2,0.8807
TRUE,0.509,0.812,"8",-5.438,"1",0.0537,0.0013,1.99e-05,0.214,0.689,159.876,229640,4,7288.83333333333,0.9956
TRUE,0.735,0.478,"2",-12.472,"1",0.0293,0.189,2.48e-06,0.355,0.947,107.682,262960,4,1262.5,0.9995
TRUE,0.529,0.772,"2",-7.013,"1",0.0287,0.403,2.21e-06,0.316,0.853,91.751,181267,4,130,0.9826
TRUE,0.724,0.276,"7",-12.25,"1",0.0599,0.76,0,0.116,0.718,112.874,155933,4,776,0
TRUE,0.629,0.159,"8",-14.056,"1",0.0495,0.883,0,0.222,0.642,142.157,186733,4,1060,0.996
FALSE,0.525,0.621,"7",-7.364,"1",0.116,0.0489,0,0.294,0.591,191.9,204093,4,16767.6,0.9983
FALSE,0.325,0.759,"8",-7.146,"1",0.053,0.395,0.000362,0.0773,0.36,126.627,166453,4,51,0.9976
TRUE,0.317,0.158,"9",-16.485,"1",0.0381,0.673,0.353,0.338,0.247,130.503,177480,3,1293,0.9501
FALSE,0.532,0.401,"5",-10.629,"1",0.0525,0.869,0,0.222,0.45,143.823,178293,4,776,0.983
FALSE,0.339,0.214,"4",-11.714,"1",0.0375,0.908,7.47e-06,0.341,0.363,94.775,206640,3,5564.25,0.9945
TRUE,0.834,0.371,"1",-11.99,"1",0.0358,0.799,0,0.275,0.976,96.628,150267,4,1060,0.987
FALSE,0.774,0.511,"11",-8.914,"1",0.0319,0.322,0,0.0672,0.771,94.736,227653,4,1716,0.9968
FALSE,0.773,0.859,"11",-4.913,"1",0.0747,0.0855,0.00018,0.914,0.813,118.458,357267,4,33686.3333333333,0.7889
TRUE,0.511,0.566,"6",-7.23,"0",0.2,0.349,0,0.34,0.218,83.903,239836,4,12903,0.9986
FALSE,0.594,0.798,"4",-5.244,"1",0.0844,0.115,0,0.143,0.381,142.049,191840,4,12903,-0.9709
TRUE,0.76,0.479,"2",-5.574,"1",0.0466,0.556,0,0.0703,0.913,89.911,158040,4,32227,-0.765
TRUE,0.752,0.488,"6",-7.05,"1",0.0705,0.297,9.11e-06,0.0936,0.533,136.041,201661,4,26108,-0.5747
TRUE,0.616,0.438,"1",-5.968,"1",0.0298,0.356,0,0.24,0.386,135.929,213387,4,9501,0.1326
TRUE,0.687,0.792,"5",-2.749,"1",0.0452,0.191,0,0.167,0.671,100.015,214290,4,17430,0.9966
TRUE,0.72,0.706,"1",-4.719,"1",0.0473,0.0684,0,0.166,0.62,133.002,187436,4,14,0.9864
TRUE,0.442,0.585,"0",-10.332,"0",0.0964,0.0984,0.391,0.14,0.116,97.565,229413,4,18416,0.9622
TRUE,0.889,0.496,"4",-6.365,"0",0.0905,0.259,0,0.252,0.544,86.003,180522,4,115282,0.9281
TRUE,0.657,0.711,"0",-5.355,"1",0.374,0.0135,0,0.221,0.368,86.957,221522,4,9484,0.996
TRUE,0.572,0.385,"7",-6.362,"1",0.0308,0.371,0,0.231,0.323,95.799,215733,4,2712,0.443
TRUE,0.579,0.904,"5",-2.729,"1",0.0618,0.193,0,0.064,0.681,82.014,190947,4,25349,0.998
TRUE,0.834,0.73,"8",-3.714,"1",0.222,0.00513,0,0.124,0.446,155.008,312820,4,25510,0
