"hitness","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","time_signature","sentiment","duration_min","tempo_div_100","popularity_div_1000"
TRUE,0.841,0.728,"7",-3.37,"1",0.0484,0.0847,0,0.149,0.43,4,0.9938,4.06395,1.30049,17.5323333333333
TRUE,0.336,0.627,"7",-7.463,"1",0.0384,0.164,0,0.0708,0.35,4,0.9805,4.01845,1.50273,2.77214285714286
TRUE,0.589,0.472,"8",-8.749,"1",0.0502,0.614,0,0.505,0.898,4,0.9868,2.10445,0.67196,0.41
TRUE,0.754,0.424,"2",-8.463,"1",0.0363,0.643,0,0.0652,0.806,4,0.8442,2.18288333333333,1.19705,0.281
TRUE,0.683,0.375,"0",-13.056,"1",0.0303,0.579,0,0.076,0.888,4,0.9966,2.25888333333333,1.40467,1.169
TRUE,0.24,0.598,"7",-8.435,"1",0.0369,0.766,0,0.117,0.776,3,0.9973,2.53221666666667,2.01629,1.144
TRUE,0.485,0.857,"2",-7.059,"1",0.0442,0.534,0,0.347,0.963,4,0.9992,3.03933333333333,1.48749,0.17
TRUE,0.451,0.24,"1",-14.014,"1",0.0351,0.912,2.45e-06,0.175,0.701,4,0.8817,1.95245,1.34009,0.848
TRUE,0.319,0.21,"1",-15.231,"1",0.0341,0.92,8.06e-05,0.138,0.209,4,0.8807,3.20266666666667,0.78696,1.0092
TRUE,0.509,0.812,"8",-5.438,"1",0.0537,0.0013,1.99e-05,0.214,0.689,4,0.9956,3.82733333333333,1.59876,7.28883333333333
TRUE,0.735,0.478,"2",-12.472,"1",0.0293,0.189,2.48e-06,0.355,0.947,4,0.9995,4.38266666666667,1.07682,1.2625
TRUE,0.529,0.772,"2",-7.013,"1",0.0287,0.403,2.21e-06,0.316,0.853,4,0.9826,3.02111666666667,0.91751,0.13
TRUE,0.724,0.276,"7",-12.25,"1",0.0599,0.76,0,0.116,0.718,4,0,2.59888333333333,1.12874,0.776
TRUE,0.629,0.159,"8",-14.056,"1",0.0495,0.883,0,0.222,0.642,4,0.996,3.11221666666667,1.42157,1.06
FALSE,0.525,0.621,"7",-7.364,"1",0.116,0.0489,0,0.294,0.591,4,0.9983,3.40155,1.919,16.7676
FALSE,0.325,0.759,"8",-7.146,"1",0.053,0.395,0.000362,0.0773,0.36,4,0.9976,2.77421666666667,1.26627,0.051
TRUE,0.317,0.158,"9",-16.485,"1",0.0381,0.673,0.353,0.338,0.247,3,0.9501,2.958,1.30503,1.293
FALSE,0.532,0.401,"5",-10.629,"1",0.0525,0.869,0,0.222,0.45,4,0.983,2.97155,1.43823,0.776
FALSE,0.339,0.214,"4",-11.714,"1",0.0375,0.908,7.47e-06,0.341,0.363,3,0.9945,3.444,0.94775,5.56425
TRUE,0.834,0.371,"1",-11.99,"1",0.0358,0.799,0,0.275,0.976,4,0.987,2.50445,0.96628,1.06
FALSE,0.774,0.511,"11",-8.914,"1",0.0319,0.322,0,0.0672,0.771,4,0.9968,3.79421666666667,0.94736,1.716
FALSE,0.773,0.859,"11",-4.913,"1",0.0747,0.0855,0.00018,0.914,0.813,4,0.7889,5.95445,1.18458,33.6863333333333
TRUE,0.511,0.566,"6",-7.23,"0",0.2,0.349,0,0.34,0.218,4,0.9986,3.99726666666667,0.83903,12.903
FALSE,0.594,0.798,"4",-5.244,"1",0.0844,0.115,0,0.143,0.381,4,-0.9709,3.19733333333333,1.42049,12.903
TRUE,0.76,0.479,"2",-5.574,"1",0.0466,0.556,0,0.0703,0.913,4,-0.765,2.634,0.89911,32.227
TRUE,0.752,0.488,"6",-7.05,"1",0.0705,0.297,9.11e-06,0.0936,0.533,4,-0.5747,3.36101666666667,1.36041,26.108
TRUE,0.616,0.438,"1",-5.968,"1",0.0298,0.356,0,0.24,0.386,4,0.1326,3.55645,1.35929,9.501
TRUE,0.687,0.792,"5",-2.749,"1",0.0452,0.191,0,0.167,0.671,4,0.9966,3.5715,1.00015,17.43
TRUE,0.72,0.706,"1",-4.719,"1",0.0473,0.0684,0,0.166,0.62,4,0.9864,3.12393333333333,1.33002,0.014
TRUE,0.442,0.585,"0",-10.332,"0",0.0964,0.0984,0.391,0.14,0.116,4,0.9622,3.82355,0.97565,18.416
TRUE,0.889,0.496,"4",-6.365,"0",0.0905,0.259,0,0.252,0.544,4,0.9281,3.0087,0.86003,115.282
TRUE,0.657,0.711,"0",-5.355,"1",0.374,0.0135,0,0.221,0.368,4,0.996,3.69203333333333,0.86957,9.484
TRUE,0.572,0.385,"7",-6.362,"1",0.0308,0.371,0,0.231,0.323,4,0.443,3.59555,0.95799,2.712
TRUE,0.579,0.904,"5",-2.729,"1",0.0618,0.193,0,0.064,0.681,4,0.998,3.18245,0.82014,25.349
TRUE,0.834,0.73,"8",-3.714,"1",0.222,0.00513,0,0.124,0.446,4,0,5.21366666666667,1.55008,25.51
FALSE,0.741,0.645,"11",-5.116,"0",0.0963,0.192,0,0.163,0.488,4,0.9951,3.86606666666667,1.4907,25.51
TRUE,0.56,0.68,"6",-7.648,"0",0.321,0.555,0,0.116,0.319,4,0.9938,2.89666666666667,0.89391,26.108
TRUE,0.791,0.587,"3",-5.075,"0",0.0413,0.407,0,0.148,0.536,4,0.9988,2.99081666666667,0.96057,7.944
TRUE,0.511,0.363,"4",-7.65,"0",0.041,0.816,0.0317,0.084,0.169,4,-0.9018,3.33965,1.44892,8.16
TRUE,0.367,0.111,"4",-14.084,"1",0.0972,0.978,3.97e-05,0.0897,0.198,4,0.9976,3.26795,0.82642,8.16
TRUE,0.74,0.488,"1",-7.664,"0",0.27,0.234,0,0.241,0.584,4,-0.9559,2.00221666666667,1.49042,0.01
TRUE,0.551,0.402,"11",-7.431,"1",0.0262,0.676,0,0.0928,0.382,4,0.9832,3.22,1.03313,16.113
TRUE,0.676,0.578,"10",-4.669,"0",0.375,0.0509,0,0.0796,0.698,4,-0.9466,3.39801666666667,1.58896,16.468
TRUE,0.851,0.541,"0",-6.825,"1",0.0505,0.568,0,0.13,0.448,4,0.9998,3.92575,1.24959,14.146
TRUE,0.553,0.586,"11",-6.319,"1",0.0362,0.697,0,0.0813,0.443,4,0.9707,3.27288333333333,1.26684,0.247
TRUE,0.897,0.662,"1",-6.903,"0",0.292,0.0852,0,0.534,0.389,4,-0.9985,2.42571666666667,1.12511,16.468
TRUE,0.717,0.653,"1",-5.634,"1",0.0658,0.229,0,0.101,0.412,4,0,3.45533333333333,1.06966,26.508
FALSE,0.678,0.533,"4",-10.485,"1",0.186,0.462,0.219,0.139,0.323,4,0.8948,3.01588333333333,1.50455,8.16
TRUE,0.494,0.632,"5",-6.89,"1",0.0342,0.682,0,0.0869,0.0797,4,0.875,4.57821666666667,1.47873,10.324
TRUE,0.596,0.854,"7",-5.114,"0",0.463,0.0169,0,0.124,0.152,4,0.3527,3.3903,1.20274,8.541
TRUE,0.68,0.578,"10",-5.804,"1",0.04,0.331,0,0.135,0.341,4,0.9972,3.85445,1.45038,32.227
FALSE,0.383,0.637,"3",-6.993,"1",0.0703,0.0722,0,0.368,0.0827,4,-0.9962,4.34621666666667,1.77913,56.375
FALSE,0.574,0.37,"10",-10.803,"1",0.084,0.634,8.76e-05,0.0986,0.354,4,-0.961,3.52711666666667,0.83163,18.416
TRUE,0.964,0.487,"10",-6.071,"0",0.421,0.00127,6.57e-06,0.115,0.107,4,0.8715,2.56706666666667,1.2705,16.468
TRUE,0.579,0.511,"8",-6.788,"1",0.0293,0.254,0,0.099,0.594,4,0.9851,3.84955,0.78003,2.392
TRUE,0.489,0.581,"11",-5.731,"1",0.0281,0.0312,0,0.132,0.494,4,0.6832,3.27911666666667,0.86016,9.501
TRUE,0.95,0.59,"8",-6.508,"0",0.29,0.00534,0,0.11,0.219,4,-0.9977,3.05878333333333,1.30003,11.394
TRUE,0.861,0.603,"8",-5.788,"0",0.176,0.0521,0,0.0924,0.504,4,0,3.81266666666667,0.98043,25.51
TRUE,0.788,0.842,"4",-4.006,"0",0.142,0.121,0.00112,0.166,0.481,4,0.4631,2.7746,1.90077,11.394
TRUE,0.351,0.296,"4",-10.109,"0",0.0333,0.934,0,0.095,0.12,4,0.9932,3.33643333333333,1.15284,18.416
TRUE,0.616,0.474,"10",-9.608,"1",0.0266,0.192,0.00762,0.0989,0.493,4,0.9958,3.50221666666667,1.42689,39.973
TRUE,0.543,0.868,"3",-4.69,"0",0.0354,0.0338,0.000289,0.19,0.433,4,0.9979,3.2148,1.4407,9.607
TRUE,0.816,0.726,"5",-3.998,"0",0.129,0.099,0,0.372,0.65,4,0.9991,4.22316666666667,1.36048,11.394
TRUE,0.91,0.366,"1",-9.954,"1",0.0941,0.0996,0,0.261,0.74,4,0.9313,2.53333333333333,1.19985,18.205
TRUE,0.75,0.665,"8",-3.083,"1",0.124,0.265,0,0.0515,0.697,4,-0.928,3.65595,0.95239,3.023
TRUE,0.799,0.579,"4",-5.144,"0",0.0487,0.00381,0,0.367,0.363,4,0,3.38601666666667,1.42987,47.598
FALSE,0.553,0.502,"0",-5.972,"1",0.0409,0.299,0,0.764,0.296,4,-0.9532,3.50333333333333,1.29976,2.712
TRUE,0.792,0.743,"7",-2.806,"1",0.0851,0.107,0,0.183,0.742,4,-0.9998,3.26061666666667,1.50024,0.783
TRUE,0.729,0.625,"4",-5.266,"1",0.0315,0.194,0.00986,0.248,0.261,4,-0.9973,3.06511666666667,1.46034,3.527
TRUE,0.736,0.67,"10",-6.702,"1",0.311,0.186,0,0.114,0.845,4,-0.6413,2.83331666666667,1.30032,12.903
FALSE,0.406,0.359,"7",-6.145,"1",0.0293,0.685,3.67e-06,0.122,0.202,4,-0.7888,5.48155,1.09246,2.712
TRUE,0.575,0.571,"1",-7.906,"1",0.0439,0.0558,0,0.0912,0.449,4,0.2628,3.29911666666667,1.05049,16.783
FALSE,0.729,0.475,"8",-4.985,"1",0.0364,0.378,0,0.12,0.371,3,0.9959,3.53778333333333,0.6252,26.508
TRUE,0.705,0.531,"1",-7.031,"1",0.0281,0.0135,2.11e-06,0.165,0.425,4,0.9906,2.97221666666667,1.07013,29.255
TRUE,0.785,0.554,"0",-6.571,"1",0.0409,0.283,3.4e-06,0.116,0.144,4,0.99,2.50071666666667,1.28047,25.51
TRUE,0.711,0.696,"7",-5.05,"1",0.0869,0.16,0,0.17,0.694,4,0.9984,3.15888333333333,0.80512,2.899
TRUE,0.703,0.723,"9",-5.45,"0",0.0412,0.0302,2.06e-06,0.126,0.288,4,0,3.31505,1.04969,37.904
TRUE,0.743,0.87,"1",-2.188,"1",0.212,0.0595,0,0.299,0.884,4,-0.9798,3.2364,0.99079,7.625
TRUE,0.609,0.807,"5",-7.221,"1",0.0972,0.00403,5.42e-06,0.0926,0.492,4,0.9791,3.97488333333333,1.19073,3.944
FALSE,0.735,0.453,"8",-8.264,"0",0.0602,0.413,0,0.104,0.335,4,-0.9967,3.62311666666667,1.15002,2.323
TRUE,0.731,0.657,"0",-8.56,"1",0.0434,0.0591,0,0.0874,0.49,4,0.9631,3.07483333333333,1.5997,8.662
FALSE,0.631,0.953,"2",-3.739,"1",0.0343,0.0241,0.0155,0.108,0.422,4,-0.9822,4.56338333333333,1.4199,9.86366666666667
TRUE,0.568,0.656,"8",-5.413,"1",0.0433,0.0211,1.37e-05,0.213,0.364,4,0.8873,3.30266666666667,1.00049,26.508
TRUE,0.477,0.61,"11",-5.628,"0",0.144,0.225,0,0.107,0.358,4,0.9591,3.56655,0.79882,9.484
TRUE,0.708,0.648,"6",-5.626,"1",0.0449,0.0956,0,0.134,0.338,4,0.9896,3.36178333333333,1.43955,18.416
TRUE,0.638,0.717,"2",-4.722,"1",0.0337,0.346,0,0.105,0.249,4,0.9996,3,1.00027,14.953
TRUE,0.762,0.696,"5",-4.795,"0",0.126,0.0172,1.33e-06,0.22,0.532,4,-0.977,3.16153333333333,1.47123,115.282
TRUE,0.629,0.464,"4",-8.72,"1",0.0334,0.75,0,0.0853,0.523,4,0.9977,3.25088333333333,1.56051,0.727
TRUE,0.8,0.526,"8",-5.153,"1",0.0716,0.334,0.00174,0.0571,0.746,4,0.9646,2.50791666666667,1.29874,37.904
TRUE,0.458,0.897,"9",-4.879,"1",0.0402,0.0183,0,0.174,0.728,4,0.9954,3.53445,1.60131,1.489
