new_id,url
My Universe%:%Coldplay x BTS,https://open.spotify.com/track/3FeVmId7tL5YN8B7R3imoM?si=995363885bcb41f7
Knife Talk%:%Drake Featuring 21 Savage,https://open.spotify.com/track/38OxzrXfvFjyKWtgAkWdOK?si=d245cdf36d254321
Memory%:%Kane Brown X blackbear,https://open.spotify.com/track/34chhNX59Wo9HMFCsI3K8Y?si=3a3cbb93ab574b52
Peepin Out The Window%:%Young Thug With Future,https://open.spotify.com/track/03kozlqpm5twrblZia0m9j?si=122956dff4ac4bff
Peaches%:%Justin Bieber Featuring Daniel Caesar,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI?si=61cf4eb14b65471c
Last One Standing%:%Skylar Grey,https://open.spotify.com/track/5W8HXMOMLtXLz0RGKUtnlZ?si=d307028bdede4231
Scoop%:%Lil Nas X Featuring Doja Cat,https://open.spotify.com/track/6bpq1jGkVz66Q3LYeoXdjZ?si=5bbc23e328f9477c
7am On Bridle Path%:%Drake,https://open.spotify.com/track/42m3eP1JJhtzffal9B136J?si=ce8299537e7c4765
Country Again%:%Thomas Rhett,https://open.spotify.com/track/3CiF9D8iuVhZWDvvjf8HpG?si=f8ea0fd5443945cd
AM%:%Nio Garcia X J Balvin X Bad Bunny,https://open.spotify.com/track/2dNhNlpZAtV4lwAFW45LIv?si=dbb20f58c71d4c81
Voice Of The Heroes%:%Lil Baby,https://open.spotify.com/track/7eO7rOwH5qVD3UWpO97qTI?si=981e67398c0f4efb
amari%:%J. Cole,https://open.spotify.com/track/2cnKST6T9qUo2i907lm8zX?si=476e65e69b464eef
let.go.my.hand%:%J. Cole,https://open.spotify.com/track/0GAyuCo975IHGxxiLKDufB?si=94921c054f874197
You're Mines Still%:%Yung Bleu Featuring Drake,https://open.spotify.com/track/7E2C5rBLpCKwQlhJPVFBRS?si=8f87039effee4ed3
Long Live%:%Florida Georgia Line,https://open.spotify.com/track/0YfRAYTNTNszGg8VARrSIH?si=e24318e9445a4f48
Whoopty%:%CJ,https://open.spotify.com/track/5vGLcdRuSbUhD8ScwsGSdA?si=627e084017e14d99
Dynamite%:%BTS,https://open.spotify.com/track/5QDLhrAOJJdNAmCTJ8xMyW?si=c415ccc4d00648ab
Unstable%:%Justin Bieber Featuring The Kid LAROI,https://open.spotify.com/track/137mSruegm1u6x9NvwiagR?si=48d77352fe654ae4
Golden%:%Harry Styles,https://open.spotify.com/track/45S5WTQEGOB1VHr1Q4FuPl?si=f2834fe90b374e89
Laugh Now Cry Later%:%Drake Featuring Lil Durk,https://open.spotify.com/track/2SAqBLGA283SUiwJ3xOUVI?si=303f885bf51b4ea4
WAP%:%Cardi B Featuring Megan Thee Stallion,https://open.spotify.com/track/4Oun2ylbjFKMPTiaSbbCih?si=6c6d8dbda26549d2
Pretty Heart%:%Parker McCollum,https://open.spotify.com/track/7nINhyXn6uwUkYLY5KQH0K?si=bff3193df1214ea7
Reminds Me Of You%:%The Kid LAROI,https://open.spotify.com/track/5YSHygGN9D0mID1NsVd5my?si=b9ef8fa3daee4199
All I Want For Christmas Is You%:%Mariah Carey,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn?si=59f98ce5febd4bb9
Last Christmas%:%Wham!,https://open.spotify.com/track/2FRnf9qhLbvw8fu4IBXx78?si=944fc1c0a79f46b4
It's Beginning To Look A Lot Like Christmas%:%Perry Como And The Fontane Sisters With Mitchell Ayres And His Orchestra,https://open.spotify.com/track/2pXpURmn6zC5ZYDMms6fwa?si=120599a972d844dc
Here Comes Santa Claus (Right Down Santa Claus Lane)%:%Gene Autry,https://open.spotify.com/track/25leEEaz1gIpp7o21Fqyjo?si=874ff23cfe5941f8
She Knows This%:%Kid Cudi,https://open.spotify.com/track/1xzUQMiCoY5pdego0pHMeV?si=771be07faef24d7c
Cowboy Like Me%:%Taylor Swift,https://open.spotify.com/track/1XjHRolIXL2M1EEOUsGGR4?si=80c59413c4e24c83
Iris%:%Phoebe,NA
Motive%:%Ariana Grande Featuring Doja Cat,https://open.spotify.com/track/5GkQIP5mWPi4KZLLXeuFTT?si=d39cf41f0eb54e1f
Safety Net%:%Ariana Grande Featuring Ty Dolla $ign,https://open.spotify.com/track/14gkWVFMwdxBMyqBw1wmIg?si=92b4a35357d940b6
Over Now%:%Calvin Harris X The Weeknd,https://open.spotify.com/track/58AGoOGbwsQMhBbH0eFLRR?si=2f8493b65c324d0b
B*tch From da Souf%:%Mulatto,https://open.spotify.com/track/6tLWt7gkvvTSjS6OfJjiyJ?si=e0f17555d8fa403c
The Climb Back%:%J. Cole,https://open.spotify.com/track/5lLNBIyjp72btcnrjBG751?si=02f359049dd141b4
My Affection%:%Summer Walker,https://open.spotify.com/track/2aSM4sbNN7cSmpYOG0sf46?si=efb292c10e6d45a4
RITMO (Bad Boys For Life)%:%Black Eyed Peas X J Balvin,https://open.spotify.com/track/6cy3ki60hLwimwIje7tALf?si=bf12d7742b3e4d3d
The Other Girl%:%Kelsea Ballerini x Halsey,https://open.spotify.com/track/3CS5zwqrjggxlRD0QGJAva?si=49d613997d994e42
