new_id,popularity
Easy On Me%:%Adele,-1
Stay%:%The Kid LAROI,-1
Industry Baby%:%Lil Nas X,-1
Fancy Like%:%Walker Hayes,-1
Bad Habits%:%Ed Sheeran,-1
Way 2 Sexy%:%Drake Featuring Future,-1
Shivers%:%Ed Sheeran,-1
Good 4 U%:%Olivia Rodrigo,-1
Need To Know%:%Doja Cat,-1
Levitating%:%Dua Lipa,-1
Essence%:%Wizkid Featuring Justin Bieber,-1
Kiss Me More%:%Doja Cat Featuring SZA,-1
Heat Waves%:%Glass Animals,-1
Beggin'%:%Maneskin,-1
Cold Heart (PNAU Remix)%:%Elton John,-1
You Right%:%Doja Cat,-1
Save Your Tears%:%The Weeknd,-1
If I Didn't Love You%:%Jason Aldean,-1
Traitor%:%Olivia Rodrigo,-1
My Universe%:%Coldplay x BTS,-1
Who Want Smoke??%:%Nardo Wick Featuring G Herbo,-1
Knife Talk%:%Drake Featuring 21 Savage,-1
Meet Me At Our Spot%:%THE ANXIETY: WILLOW,-1
Montero (Call Me By Your Name)%:%Lil Nas X,-1
Chasing After You%:%Ryan Hurd With Maren Morris,-1
Girls Want Girls%:%Drake Featuring Lil Baby,-1
Moth To A Flame%:%Swedish House Mafia,-1
Let's Go Brandon%:%Bryson Gray Featuring Tyson James,-1
Thats What I Want%:%Lil Nas X,-1
Pepas%:%Farruko,-1
Love Nwantiti (Ah Ah Ah)%:%CKay,-1
Take My Breath%:%The Weeknd,-1
Happier Than Ever%:%Billie Eilish,-1
Wockesha%:%Moneybagg Yo,-1
Better Days%:%NEIKED X Mae Muller X Polo G,-1
Buy Dirt%:%Jordan Davis Featuring Luke Bryan,-1
Ghost%:%Justin Bieber,-1
Lets Go Brandon%:%Loza Alexander,-1
Cold As You%:%Luke Combs,-1
A-O-K%:%Tai Verdes,-1
You Should Probably Leave%:%Chris Stapleton,-1
Leave The Door Open%:%Silk Sonic (Bruno Mars,-1
Thinking 'Bout You%:%Dustin Lynch Featuring Lauren Alaina Or MacKenzie Porter,-1
Memory I Don't Mess With%:%Lee Brice,-1
