new_id,artist_id
Easy On Me%:%Adele,['4dpARuHxo51G3z768sgnrY']
Stay%:%The Kid LAROI,"['2tIP7SsRs7vjIcLrU85W8J', '1uNFoZAHBGtllmzznpCI3s']"
Industry Baby%:%Lil Nas X,"['7jVv8c5Fj3E9VhNjxT4snq', '2LIk90788K0zvyj2JJVwkJ']"
Fancy Like%:%Walker Hayes,['7sKxqpSqbIzphAKAhrqvlf']
Bad Habits%:%Ed Sheeran,['6eUKZXaKkcviH0Ku9w2n3V']
Way 2 Sexy%:%Drake Featuring Future,"['3TVXtAsR1Inumwj472S9r4', '1RyvyyTE3xzB2ZywiAwp0i', '50co4Is1HCEo8bhOyUWKpn']"
Shivers%:%Ed Sheeran,['6eUKZXaKkcviH0Ku9w2n3V']
Good 4 U%:%Olivia Rodrigo,['1McMsnEElThX1knmY4oliG']
Need To Know%:%Doja Cat,['5cj0lLjcoR7YOSnhnX0Po5']
Levitating%:%Dua Lipa,"['6M2wZ9GZgrQXHCFfjv46we', '4r63FhuTkUYltbVAg5TQnk']"
Essence%:%Wizkid Featuring Justin Bieber,"['3tVQdUvClmAT7URs9V3rsp', '1uNFoZAHBGtllmzznpCI3s', '687cZJR45JO7jhk1LHIbgq']"
Kiss Me More%:%Doja Cat Featuring SZA,"['5cj0lLjcoR7YOSnhnX0Po5', '7tYKF4w9nC0nq9CsPZTHyP']"
Heat Waves%:%Glass Animals,['4yvcSjfu4PC0CYQyLy4wSq']
Beggin'%:%Maneskin,['0lAWpj5szCSwM4rUMHYmrr']
Cold Heart (PNAU Remix)%:%Elton John,"['3PhoLpVuITZKcymswpck5b', '6M2wZ9GZgrQXHCFfjv46we', '6n28c9qs9hNGriNa72b26u']"
You Right%:%Doja Cat,"['5cj0lLjcoR7YOSnhnX0Po5', '1Xyo4u8uXC1ZmMpatF05PJ']"
Save Your Tears%:%The Weeknd,['1Xyo4u8uXC1ZmMpatF05PJ']
If I Didn't Love You%:%Jason Aldean,"['3FfvYsEGaIb52QPXhg4DcH', '4xFUf1FHVy696Q1JQZMTRj']"
Traitor%:%Olivia Rodrigo,['1McMsnEElThX1knmY4oliG']
My Universe%:%Coldplay x BTS,['0oBrZOrMAGxxHikhpWTY1A']
Who Want Smoke??%:%Nardo Wick Featuring G Herbo,"['0Njy6yR9LykNKYg9yE23QN', '5QdEbQJ3ylBnc3gsIASAT5', '3hcs9uc56yIGFCSy9leWe7', '1URnnhqYAYcrqrcwql10ft']"
Knife Talk%:%Drake Featuring 21 Savage,['2xuavSHRMQ6dIyDjiFr8cu']
Meet Me At Our Spot%:%THE ANXIETY: WILLOW,"['64H8UqGLbJFHwKtGxiV8OP', '3rWZHrfrsPBxVy692yAIxF', '1xoxekeb8jUVHKJB7m6bfg']"
Montero (Call Me By Your Name)%:%Lil Nas X,['7jVv8c5Fj3E9VhNjxT4snq']
Chasing After You%:%Ryan Hurd With Maren Morris,"['7lDVEkjIURPMyUYwoQRrpw', '6WY7D3jk8zTrHtmkqqo5GI']"
Girls Want Girls%:%Drake Featuring Lil Baby,"['3TVXtAsR1Inumwj472S9r4', '5f7VJjfbwm532GiveGC0ZK']"
Moth To A Flame%:%Swedish House Mafia,"['1h6Cn3P4NGzXbaXidqURXs', '1Xyo4u8uXC1ZmMpatF05PJ']"
Let's Go Brandon%:%Bryson Gray Featuring Tyson James,"['66pGC6EHiiLr7Ce6twM5bk', '1y5jzAFGwRwzBQq7QnqyLE', '7HnFE87CmOGp505LeDaaDf']"
Thats What I Want%:%Lil Nas X,['7jVv8c5Fj3E9VhNjxT4snq']
Pepas%:%Farruko,['329e4yvIujISKGKz1BZZbO']
Love Nwantiti (Ah Ah Ah)%:%CKay,['048LktY5zMnakWq7PTtFrz']
Take My Breath%:%The Weeknd,['1Xyo4u8uXC1ZmMpatF05PJ']
Happier Than Ever%:%Billie Eilish,['6qqNVTkY8uBg9cP3Jd7DAH']
Wockesha%:%Moneybagg Yo,['3tJoFztHeIJkJWMrx0td2f']
Better Days%:%NEIKED X Mae Muller X Polo G,"['5H6xmHXjsq98NLbEjuE29f', '1BEUkE2CSUgHTLSBMZdnFB', '6AgTAQt8XS6jRWi4sX7w49']"
Buy Dirt%:%Jordan Davis Featuring Luke Bryan,"['77kULmXAQ6vWer7IIHdGzI', '0BvkDsjIUla7X0k6CSWh1I']"
Ghost%:%Justin Bieber,['1uNFoZAHBGtllmzznpCI3s']
Lets Go Brandon%:%Loza Alexander,['5hoUdHy0OSq8zSFJqWcZSe']
Cold As You%:%Luke Combs,['718COspgdWOnwOFpJHRZHS']
A-O-K%:%Tai Verdes,['2kCO8LXN1usaOPL3iEE28I']
You Should Probably Leave%:%Chris Stapleton,['4YLtscXsxbVgi031ovDDdh']
Leave The Door Open%:%Silk Sonic (Bruno Mars,"['0du5cEVh5yTK9QJze8zA0C', '3jK9MiCrA42lLAdMGUZpwa', '6PvvGcCY2XtUcSRld1Wilr']"
Thinking 'Bout You%:%Dustin Lynch Featuring Lauren Alaina Or MacKenzie Porter,"['1dID9zgn0OV0Y8ud7Mh2tS', '1v3tdpIdBSW14rHUfiEVOv']"
Memory I Don't Mess With%:%Lee Brice,['5Zq7R5qmi58ByYyBQTlNuk']
Bubbly%:%Young Thug With Drake,"['50co4Is1HCEo8bhOyUWKpn', '3TVXtAsR1Inumwj472S9r4', '0Y5tJX1MQlPlqiwlOH1tJY']"
Wild Side%:%Normani Featuring Cardi B,"['2cWZOOzeOm4WmBJRnD5R7I', '4kYSro6naA4h99UJvo89HB']"
Sharing Locations%:%Meek Mill Featuring Lil Baby,"['20sxb77xiYeusSH8cVdatc', '3hcs9uc56yIGFCSy9leWe7', '5f7VJjfbwm532GiveGC0ZK']"
Gyalis%:%Capella Grey,['59HbaJ5E8ud7FNLGqUN1KH']
I Was On A Boat That Day%:%Old Dominion,['6y8XlgIV8BLlIg1tT1R10i']
Family Ties%:%Baby Keem,"['5SXuuuRpukkTvsLuUknva1', '2YZyLoL8N0Wb9xBt1NhZWg']"
Have Mercy%:%Chloe,['1FtBEIWAwvw5ymBen5GICR']
Fair Trade%:%Drake Featuring Travis Scott,"['3TVXtAsR1Inumwj472S9r4', '0Y5tJX1MQlPlqiwlOH1tJY']"
Same Boat%:%Zac Brown Band,['6yJCxee7QumYr820xdIsjo']
My Boy%:%Elvie Shane,['2eIB6vFotL2su94z3pUC1j']
Hurricane%:%Kanye West,['5K4W6rqBFWDnAN6FQUkS6x']
Chosen%:%Blxst,"['4qXC0i02bSFstECuXP2ZpL', '5LHRHt1k9lMyONurDHEdrp', '7c0XG5cIJTrrAgEC3ULPiq']"
Baddest%:%Yung Bleu,['6Ad91Jof8Niiw0lGLLi3NW']
Knowing You%:%Kenny Chesney,['3grHWM9bx2E9vwJCdlRv9O']
Memory%:%Kane Brown X blackbear,"['3oSJ7TBVCWMDMiYjXNiCKE', '2cFrymmkijnjDg9SS92EPM', '670UISOh9XV1zlq5z5IfoY', '3sKeaby6GMSJWgYueZaSjE']"
Cold Beer Calling My Name%:%Jameson Rodgers Featuring Luke Combs,"['5pyVHz7lcfqKoV9BflFYwN', '718COspgdWOnwOFpJHRZHS']"
Not In The Mood%:%Lil Tjay,"['6jGMq4yGs7aQzuGsMgVgZR', '14CHVeJGrR5xgUGQFV5BVM', '2AMeiDbfU2vonrTkpXDKUu']"
Pissed Me Off%:%Lil Durk,['3hcs9uc56yIGFCSy9leWe7']
Woman%:%Doja Cat,['5cj0lLjcoR7YOSnhnX0Po5']
Sand In My Boots%:%Morgan Wallen,['4oUHIQIBe0LHzYfvXNW4QM']
'Til You Can't%:%Cody Johnson,['6zLBxLdl60ekBLpawtT63I']
Love Again%:%Dua Lipa,['6M2wZ9GZgrQXHCFfjv46we']
Whiskey And Rain%:%Michael Ray,['6ghiFYcwn2Vzl6K50U0UPz']
One Mississippi%:%Kane Brown,['3oSJ7TBVCWMDMiYjXNiCKE']
Switches & Dracs%:%Moneybagg Yo Featuring Lil Durk,"['3tJoFztHeIJkJWMrx0td2f', '3hcs9uc56yIGFCSy9leWe7', '4FlG0V0jhLO4qGpayFOphj']"
Jugaste y Sufri%:%Eslabon Armado Featuring DannyLux,"['0XeEobZplHxzM9QzFQWLiR', '6ElqtIfQsAkEYypgfJIjeK']"
Too Easy%:%Gunna,"['2hlmm7s2ICUX0LVIhVFlZQ', '1RyvyyTE3xzB2ZywiAwp0i']"
Esta Danada%:%Ivan Cornejo,['6PH3FLQAxtqYy46Zv08bpV']
Volvi%:%Aventura x Bad Bunny,"['1qto4hHid1P71emI6Fd8xi', '4q3ewBCX7sLwd24euuV69X']"
Tequila Little Time%:%Jon Pardi,['4MoAOfV4ROWofLG3a3hhBN']
Whole Lotta Money%:%BIA Featuring Nicki Minaj,"['6veh5zbFpm31XsPdjBgPER', '0hCNtLu0JehylgoiP8L4Gh']"
2055%:%Sleepy Hallow,['6EPlBSH2RSiettczlz7ihV']
Maybach%:%42 Dugg Featuring Future,"['45gHcnDnMC15sgx3VL7ROG', '1RyvyyTE3xzB2ZywiAwp0i']"
WFM%:%Realestk,['35R1B97CfrqKFFI3QBkTDx']
Poke It Out%:%Wale Featuring J. Cole,"['67nwj3Y5sZQLl72VNUHEYE', '6l3HvQ5sa6mXTsMTB19rO5', '2PsjBHyb950JI7BHXY10TD']"
Praise God%:%Kanye West,['5K4W6rqBFWDnAN6FQUkS6x']
Lo Siento BB:/%:%Tainy,"['0GM7qgcRCORpGnfcN2tCiB', '4q3ewBCX7sLwd24euuV69X', '2QWIScpFDNxmS6ZEMIUvgm']"
Freedom Was A Highway%:%Jimmie Allen,"['147nKr9upHZSSxqCzh9j7c', '13YmWQJFwgZrd4bf5IjMY4']"
For Tonight%:%Giveon,['4fxd5Ee7UefO4CUXgwJ7IP']
Thot Shit%:%Megan Thee Stallion,['181bsRPaVXVlUKXrxwZfHK']
Like A Lady%:%Lady A,['32WkQRZEVKSzVAAYqukAEA']
Get Into It (Yuh)%:%Doja Cat,['5cj0lLjcoR7YOSnhnX0Po5']
Scorpio%:%Moneybagg Yo,['3tJoFztHeIJkJWMrx0td2f']
Big Energy%:%Latto,"['3MdXrJWsbVzdn6fe5JYkSQ', '4iHNK0tOyZPYnBU7nGAgpQ', '0QHgL1lAIqAw0HtD7YldmP']"
Half Of My Hometown%:%Kelsea Ballerini Featuring Kenny Chesney,"['3RqBeV12Tt7A8xH3zBDDUF', '3grHWM9bx2E9vwJCdlRv9O']"
Money%:%Lisa,['5L1lO4eRHmJ7a0Q6csE5cT']
No Friends In The Industry%:%Drake,['3TVXtAsR1Inumwj472S9r4']
"Ya Superame (En Vivo Desde Culiacan, Sinaloa)%:%Grupo Firme",['1dKdetem2xEmjgvyymzytS']
Who's In Your Head%:%Jonas Brothers,['7gOdHgIoIKoe4i9Tta6qdD']
In The Bible%:%Drake Featuring Lil Durk,"['3TVXtAsR1Inumwj472S9r4', '3hcs9uc56yIGFCSy9leWe7', '4fxd5Ee7UefO4CUXgwJ7IP']"
Just About Over You%:%Priscilla Block,['6BpvASijzSWj7gnZD4Dvf1']
To Be Loved By You%:%Parker McCollum,['0Z8XVUAOBPM4x12wKnFHEQ']
Ain't Shit%:%Doja Cat,['2X7pI6n8xuBbsdry2JHoju']
Life Goes On%:%Oliver Tree,['6TLwD7HPWuiOzvXEa3oCNe']
Come Through%:%H.E.R. Featuring Chris Brown,"['3Y7RZ31TRPVadSFVy1o8os', '7bXgB6jMjp9ATFy66eO08Z']"
Nevada%:%YoungBoy Never Broke Again,['7wlFDEWiM5OoIAt8RSli8b']
Leave Before You Love Me%:%Marshmello X Jonas Brothers,"['64KEffDW9EtZ1y2vBYgq8T', '7gOdHgIoIKoe4i9Tta6qdD']"
Deja Vu%:%Olivia Rodrigo,['1McMsnEElThX1knmY4oliG']
