new_id,chart_start,chart_end
Easy On Me%:%Adele,2021,2021
Stay%:%The Kid LAROI,2021,2021
Industry Baby%:%Lil Nas X,2021,2021
Fancy Like%:%Walker Hayes,2021,2021
Bad Habits%:%Ed Sheeran,2021,2021
Way 2 Sexy%:%Drake Featuring Future,2021,2021
Shivers%:%Ed Sheeran,2021,2021
Good 4 U%:%Olivia Rodrigo,2021,2021
Need To Know%:%Doja Cat,2021,2021
Levitating%:%Dua Lipa,2021,2021
Essence%:%Wizkid Featuring Justin Bieber,2021,2021
Kiss Me More%:%Doja Cat Featuring SZA,2021,2021
Heat Waves%:%Glass Animals,2021,2021
Beggin'%:%Maneskin,2021,2021
Cold Heart (PNAU Remix)%:%Elton John,2021,2021
You Right%:%Doja Cat,2021,2021
Save Your Tears%:%The Weeknd,2020,2021
If I Didn't Love You%:%Jason Aldean,2021,2021
Traitor%:%Olivia Rodrigo,2021,2021
My Universe%:%Coldplay x BTS,2021,2021
Who Want Smoke??%:%Nardo Wick Featuring G Herbo,2021,2021
Knife Talk%:%Drake Featuring 21 Savage,2021,2021
Meet Me At Our Spot%:%THE ANXIETY: WILLOW,2021,2021
Montero (Call Me By Your Name)%:%Lil Nas X,2021,2021
Chasing After You%:%Ryan Hurd With Maren Morris,2021,2021
Girls Want Girls%:%Drake Featuring Lil Baby,2021,2021
Moth To A Flame%:%Swedish House Mafia,2021,2021
Let's Go Brandon%:%Bryson Gray Featuring Tyson James,2021,2021
Thats What I Want%:%Lil Nas X,2021,2021
Pepas%:%Farruko,2021,2021
Love Nwantiti (Ah Ah Ah)%:%CKay,2021,2021
Take My Breath%:%The Weeknd,2021,2021
Happier Than Ever%:%Billie Eilish,2021,2021
Wockesha%:%Moneybagg Yo,2021,2021
Better Days%:%NEIKED X Mae Muller X Polo G,2021,2021
Buy Dirt%:%Jordan Davis Featuring Luke Bryan,2021,2021
Ghost%:%Justin Bieber,2021,2021
Lets Go Brandon%:%Loza Alexander,2021,2021
Cold As You%:%Luke Combs,2020,2021
A-O-K%:%Tai Verdes,2021,2021
You Should Probably Leave%:%Chris Stapleton,2021,2021
