new_id,url
Easy On Me%:%Adele,https://open.spotify.com/track/0gplL1WMoJ6iYaPgMCL0gX
Stay%:%The Kid LAROI,https://open.spotify.com/track/5HCyWlXZPP0y6Gqq8TgA20
Industry Baby%:%Lil Nas X,https://open.spotify.com/track/27NovPIUIRrOZoCHxABJwK
Fancy Like%:%Walker Hayes,https://open.spotify.com/track/58UKC45GPNTflCN6nwCUeF
Bad Habits%:%Ed Sheeran,https://open.spotify.com/track/3rmo8F54jFF8OgYsqTxm5d
Way 2 Sexy%:%Drake Featuring Future,https://open.spotify.com/track/0k1WUmIRnG3xU6fvvDVfRG
Shivers%:%Ed Sheeran,https://open.spotify.com/track/50nfwKoDiSYg8zOCREWAm5
Good 4 U%:%Olivia Rodrigo,https://open.spotify.com/track/4ZtFanR9U6ndgddUvNcjcG
Need To Know%:%Doja Cat,https://open.spotify.com/track/3Vi5XqYrmQgOYBajMWSvCi
Levitating%:%Dua Lipa,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
Essence%:%Wizkid Featuring Justin Bieber,https://open.spotify.com/track/1mSdbey7RstGLY2udgXv74
Kiss Me More%:%Doja Cat Featuring SZA,https://open.spotify.com/track/748mdHapucXQri7IAO8yFK
Heat Waves%:%Glass Animals,https://open.spotify.com/track/02MWAaffLxlfxAUY7c5dvx
Beggin'%:%Maneskin,https://open.spotify.com/track/3Wrjm47oTz2sjIgck11l5e
Cold Heart (PNAU Remix)%:%Elton John,https://open.spotify.com/track/6zSpb8dQRaw0M1dK8PBwQz
You Right%:%Doja Cat,https://open.spotify.com/track/0k4d5YPDr1r7FX77VdqWez
Save Your Tears%:%The Weeknd,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
If I Didn't Love You%:%Jason Aldean,https://open.spotify.com/track/1WQ40xJSvgDmD9K7ckJwux
Traitor%:%Olivia Rodrigo,https://open.spotify.com/track/5CZ40GBx1sQ9agT82CLQCT
My Universe%:%Coldplay x BTS,https://open.spotify.com/track/3FeVmId7tL5YN8B7R3imoM?si=995363885bcb41f7
Who Want Smoke??%:%Nardo Wick Featuring G Herbo,https://open.spotify.com/track/7ACW7VpgoKmfM1sKo15UhX
Knife Talk%:%Drake Featuring 21 Savage,https://open.spotify.com/track/38OxzrXfvFjyKWtgAkWdOK?si=d245cdf36d254321
Meet Me At Our Spot%:%THE ANXIETY: WILLOW,https://open.spotify.com/track/07MDkzWARZaLEdKxo6yArG
Montero (Call Me By Your Name)%:%Lil Nas X,https://open.spotify.com/track/1SC5rEoYDGUK4NfG82494W
Chasing After You%:%Ryan Hurd With Maren Morris,https://open.spotify.com/track/1ZIKpMTRPqhwAoVXWY3tXI
Girls Want Girls%:%Drake Featuring Lil Baby,https://open.spotify.com/track/37Nqx7iavZpotJSDXZWbJ3
Moth To A Flame%:%Swedish House Mafia,https://open.spotify.com/track/0VO8gYVDSwM1Qdd2GsMoYK
Let's Go Brandon%:%Bryson Gray Featuring Tyson James,https://open.spotify.com/track/3SZc0j8zRttWPfXPKraJtS
Thats What I Want%:%Lil Nas X,https://open.spotify.com/track/0e8nrvls4Qqv5Rfa2UhqmO
Pepas%:%Farruko,https://open.spotify.com/track/5fwSHlTEWpluwOM0Sxnh5k
Love Nwantiti (Ah Ah Ah)%:%CKay,https://open.spotify.com/track/2Xr1dTzJee307rmrkt8c0g
Take My Breath%:%The Weeknd,https://open.spotify.com/track/6WOfXaT7K5ZwtZrksAq9xf
Happier Than Ever%:%Billie Eilish,https://open.spotify.com/track/4RVwu0g32PAqgUiJoXsdF8
Wockesha%:%Moneybagg Yo,https://open.spotify.com/track/0nqhKXDjsyBMvbeWmgijD0
Better Days%:%NEIKED X Mae Muller X Polo G,https://open.spotify.com/track/6f5ExP43esnvdKPddwKXJH
Buy Dirt%:%Jordan Davis Featuring Luke Bryan,https://open.spotify.com/track/69AIpwGNLxr4qS1X5ynx60
Ghost%:%Justin Bieber,https://open.spotify.com/track/6I3mqTwhRpn34SLVafSH7G
Lets Go Brandon%:%Loza Alexander,https://open.spotify.com/track/36fpGAf7yaHajJP2QhHsPF
Cold As You%:%Luke Combs,https://open.spotify.com/track/7IWV29mryrqtO0JVgnPtfv
A-O-K%:%Tai Verdes,https://open.spotify.com/track/1sx0XsWUusUoPstbvokZjP
You Should Probably Leave%:%Chris Stapleton,https://open.spotify.com/track/2UikqkwBv7aIvlixeVXHWt
Leave The Door Open%:%Silk Sonic (Bruno Mars,https://open.spotify.com/track/02VBYrHfVwfEWXk5DXyf0T
Thinking 'Bout You%:%Dustin Lynch Featuring Lauren Alaina Or MacKenzie Porter,https://open.spotify.com/track/6NebrV4ZigAoXIRbe11hxh
Memory I Don't Mess With%:%Lee Brice,https://open.spotify.com/track/1zYZs8Vbjhbzx5M3olcRnm
Bubbly%:%Young Thug With Drake,https://open.spotify.com/track/4KDNRh9Oor80z3XIxdWlui
Wild Side%:%Normani Featuring Cardi B,https://open.spotify.com/track/2vXgyN14LX2zl7JEASw242
Sharing Locations%:%Meek Mill Featuring Lil Baby,https://open.spotify.com/track/3J4VKkUpLvomXJbn9ZAypO
Gyalis%:%Capella Grey,https://open.spotify.com/track/7wpyrkjEgz7W1vNYDxMKrF
I Was On A Boat That Day%:%Old Dominion,https://open.spotify.com/track/7u6kAP26NFU2rwNKjFUpI8
Family Ties%:%Baby Keem,https://open.spotify.com/track/7Bpx2vsWfQFBACRz4h3IqH
Have Mercy%:%Chloe,https://open.spotify.com/track/5SixeLvPsYpk7qq9lo5xYg
Fair Trade%:%Drake Featuring Travis Scott,https://open.spotify.com/track/40iJIUlhi6renaREYGeIDS
Same Boat%:%Zac Brown Band,https://open.spotify.com/track/4HD9SLK4s9rwRyuFt3n8N7
My Boy%:%Elvie Shane,https://open.spotify.com/track/47fyYjbsfq48e3fUys4Xaa
Hurricane%:%Kanye West,https://open.spotify.com/track/6Hfu9sc7jvv6coyy2LlzBF
Chosen%:%Blxst,https://open.spotify.com/track/1dIWPXMX4kRHj6Dt2DStUQ
Baddest%:%Yung Bleu,https://open.spotify.com/track/5v4OkFH0TJ6W1hCFxyn0px
Knowing You%:%Kenny Chesney,https://open.spotify.com/track/5dsv50h7pFSj84CB6mT0S6
Memory%:%Kane Brown X blackbear,https://open.spotify.com/track/34chhNX59Wo9HMFCsI3K8Y?si=3a3cbb93ab574b52
Cold Beer Calling My Name%:%Jameson Rodgers Featuring Luke Combs,https://open.spotify.com/track/3dV1fjKOlLnaNK5MeZHXGv
Not In The Mood%:%Lil Tjay,https://open.spotify.com/track/25GyyK9CyZRiDCsPY51fIT
Pissed Me Off%:%Lil Durk,https://open.spotify.com/track/52nTQQahs46s1iHFQ3Wv5Q
Woman%:%Doja Cat,https://open.spotify.com/track/6Uj1ctrBOjOas8xZXGqKk4
Sand In My Boots%:%Morgan Wallen,https://open.spotify.com/track/7saQVI6zR8MeuX9o9b1wv4
'Til You Can't%:%Cody Johnson,https://open.spotify.com/track/4k3lPl8YTKuY8c1HelVnm3
Love Again%:%Dua Lipa,https://open.spotify.com/track/4rPkN1FMzQyFNP9cLUGIIB
Whiskey And Rain%:%Michael Ray,https://open.spotify.com/track/1tf4Bfk8JIKryLpWYRvyiI
One Mississippi%:%Kane Brown,https://open.spotify.com/track/4FdPnT2cFrpWCmWZd7GXc3
Switches & Dracs%:%Moneybagg Yo Featuring Lil Durk,https://open.spotify.com/track/4c7LkE1lSNj3RR4cZo0jEi
Jugaste y Sufri%:%Eslabon Armado Featuring DannyLux,https://open.spotify.com/track/3NqBxTOMCJ3zW9CIP51td4
Too Easy%:%Gunna,https://open.spotify.com/track/1t55dGrBkLvKDzNa9QJ3LV
Esta Danada%:%Ivan Cornejo,https://open.spotify.com/track/6G2xXQRSZlEzYsUEb3uvuR
Volvi%:%Aventura x Bad Bunny,https://open.spotify.com/track/2vmfvSoZBFAt9hhRoEByLi
Tequila Little Time%:%Jon Pardi,https://open.spotify.com/track/24IhElIpotWEFcduwXcmOb
Whole Lotta Money%:%BIA Featuring Nicki Minaj,https://open.spotify.com/track/67G6iaOw8DZqp1z8STR89R
2055%:%Sleepy Hallow,https://open.spotify.com/track/4XvcHTUfIlWfyJTRG0aqlo
Maybach%:%42 Dugg Featuring Future,https://open.spotify.com/track/2Qt8qG9SWPdtRiaWcPNJRm
WFM%:%Realestk,https://open.spotify.com/track/1DNA2z7Txysjk3cNz2nDLm
Poke It Out%:%Wale Featuring J. Cole,https://open.spotify.com/track/0wi5NYT0upjIHOG4FWSqdH
Praise God%:%Kanye West,https://open.spotify.com/track/0WSEq9Ko4kFPt8yo3ICd6T
Lo Siento BB:/%:%Tainy,https://open.spotify.com/track/4gzsuuZypVbxs0Af1LSZyB
Freedom Was A Highway%:%Jimmie Allen,https://open.spotify.com/track/3J5jotqUAjU479WhAiNkpU
For Tonight%:%Giveon,https://open.spotify.com/track/1TlTzdsEpgfsmbuNfYmWfG
Thot Shit%:%Megan Thee Stallion,https://open.spotify.com/track/5zNW5ARjYhJQJz1AChP33n
Like A Lady%:%Lady A,https://open.spotify.com/track/1XbUj3iXUufiE6z3x6xy9C
Get Into It (Yuh)%:%Doja Cat,https://open.spotify.com/track/0W6I02J9xcqK8MtSeosEXb
Scorpio%:%Moneybagg Yo,https://open.spotify.com/track/0BFGDkrXAneskCJdudSCro
Big Energy%:%Latto,https://open.spotify.com/track/0EJ3Kofm9hYq3hL4VZ881G
Half Of My Hometown%:%Kelsea Ballerini Featuring Kenny Chesney,https://open.spotify.com/track/1yRke3PmsyFrYlFZOAkABk
Money%:%Lisa,https://open.spotify.com/track/7hU3IHwjX150XLoTVmjD0q
No Friends In The Industry%:%Drake,https://open.spotify.com/track/2tUL6dZf1mywCj5WvCPZw6
"Ya Superame (En Vivo Desde Culiacan, Sinaloa)%:%Grupo Firme",https://open.spotify.com/track/6HIIuuUIEzH1meVdGbMXyf
Who's In Your Head%:%Jonas Brothers,https://open.spotify.com/track/5nhW8I46uDE5sc5ouEbzao
In The Bible%:%Drake Featuring Lil Durk,https://open.spotify.com/track/61S79KIVA4I9FXbnsylEHT
Just About Over You%:%Priscilla Block,https://open.spotify.com/track/4Ec0q0j8hRTCX4QQ5MiHSX
To Be Loved By You%:%Parker McCollum,https://open.spotify.com/track/4QG3509X9upc8mZ5AAD4vB
Ain't Shit%:%Doja Cat,https://open.spotify.com/track/4Al9dXuoJMUDSGIOOEbABj
Life Goes On%:%Oliver Tree,https://open.spotify.com/track/0eu4C55hL6x29mmeAjytzC
Come Through%:%H.E.R. Featuring Chris Brown,https://open.spotify.com/track/29he0Joo5sz2607A6ZBT6H
Nevada%:%YoungBoy Never Broke Again,https://open.spotify.com/track/2cEnKRR4dYBB2VA1mjlb1z
Leave Before You Love Me%:%Marshmello X Jonas Brothers,https://open.spotify.com/track/4qu63nuBpdn0qHUHuObEj1
Deja Vu%:%Olivia Rodrigo,https://open.spotify.com/track/6HU7h9RYOaPRFeh0R3UeAr
Ex For A Reason%:%Summer Walker,https://open.spotify.com/track/1De7cOMrdUnVpjWBaowMg4
Late At Night%:%Roddy Ricch,https://open.spotify.com/track/1fxYz1s15pyZLsJT0Hdh1m
Livin It Up%:%Young Thug With Post Malone,https://open.spotify.com/track/7zjEyeBsaw9gV0jofJLfOM
Stressed%:%Young Thug With J. Cole,https://open.spotify.com/track/0uqsdBw9KvD8jSWmfMmMAp
Rich N***a Shit%:%Young Thug With Juice WRLD,https://open.spotify.com/track/1XRzIGsdYaLi0jHeGlcHGP
Yonaguni%:%Bad Bunny,https://open.spotify.com/track/2JPLbjOn0wPCngEot2STUS
Champagne Poetry%:%Drake,https://open.spotify.com/track/2HSmyk2qMN8WQjuGhaQgCk
Let Somebody Go%:%Coldplay X Selena Gomez,https://open.spotify.com/track/4cGqn0E8JCSY9gQllQj4Mf
You Time%:%Scotty McCreery,https://open.spotify.com/track/3yFsyy1hw7v31NBrRJX2QM
Peepin Out The Window%:%Young Thug With Future,https://open.spotify.com/track/03kozlqpm5twrblZia0m9j?si=122956dff4ac4bff
Woo Baby%:%Pop Smoke Featuring Chris Brown,https://open.spotify.com/track/58T4yPLn4NjBYXfRxeweyM
Flocky Flocky%:%Don Toliver Featuring Travis Scott,https://open.spotify.com/track/25r6MZ4Gtd76l43qnZI1DG
Peaches%:%Justin Bieber Featuring Daniel Caesar,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI?si=61cf4eb14b65471c
Todo de Ti%:%Rauw Alejandro,https://open.spotify.com/track/4fSIb4hdOQ151TILNsSEaF
Drinkin' Beer. Talkin' God. Amen.%:%Chase Rice Featuring Florida Georgia Line,https://open.spotify.com/track/1b8TpvCFqmJTd2xz9xE9s1
Your Heart%:%Joyner Lucas,https://open.spotify.com/track/2DTpP3caqX3QdJIEoS83mD
Summer Of Love%:%Shawn Mendes,https://open.spotify.com/track/0z8hI3OPS8ADPWtoCjjLl6
Waves%:%Luke Bryan,https://open.spotify.com/track/027269uzraETHuoG6aMs6a
Life Support%:%YoungBoy Never Broke Again,https://open.spotify.com/track/2CMVajzxRuxsFNzYFkzjTb
Bad Morning%:%YoungBoy Never Broke Again,https://open.spotify.com/track/14RtRKcWhxg2qPGLMR21tf
Intro (Hate On Me)%:%Meek Mill,https://open.spotify.com/track/4s7TIubkdsgdtDEDFEAYVL
Drunk (And I Don't Wanna Go Home)%:%Elle King,https://open.spotify.com/track/0QULNNd9z5s35entfiiXoa
Butter%:%BTS,https://open.spotify.com/track/6jjYDGxVJsWS0a5wlVF5vS
Hot%:%Meek Mill Featuring Moneybagg Yo,https://open.spotify.com/track/5qyZ6LcHvBiIHLaoED8K4g
Expensive Pain%:%Meek Mill,https://open.spotify.com/track/7eDkIDGKVe5B5RmTiEPiXJ
On My Soul%:%Meek Mill,https://open.spotify.com/track/1cHFHTOMDb3zHcDwumFSCw
Blue Note$ II%:%Meek Mill Featuring Lil Uzi Vert,https://open.spotify.com/track/2kdhiombBoiHjvSKG3EI0m
Outside (100 MPH)%:%Meek Mill,https://open.spotify.com/track/67lvhLT01Fq3GEIrt5RpPn
Last One Standing%:%Skylar Grey,https://open.spotify.com/track/5W8HXMOMLtXLz0RGKUtnlZ?si=d307028bdede4231
The Feels%:%TWICE,https://open.spotify.com/track/308Ir17KlNdlrbVLHWhlLe
Me (FWM)%:%Meek Mill Featuring A$AP Ferg,https://open.spotify.com/track/4IfJuDOnqRfVVnzsDaqPeL
Love Train%:%Meek Mill,https://open.spotify.com/track/7u5305l9KSUD6hKfpl3QSQ
Feelin Like Tunechi%:%Lil Wayne Featuring Rich The Kid,https://open.spotify.com/track/4HTY26kzdGCKJF1EqcRd2J
Ride For You%:%Meek Mill Featuring Kehlani,https://open.spotify.com/track/4YFPUYwA9Jmk9xQYCbz3zb
TSU%:%Drake,https://open.spotify.com/track/4s7QLoImIwmPi9L6dq1nVW
Love All%:%Drake Featuring JAY-Z,https://open.spotify.com/track/4VCbgIdr8ptegWeJpqLVHH
No Where%:%YoungBoy Never Broke Again,https://open.spotify.com/track/2f2WskmLwsLtGkjntD8NG7
On My Side%:%YoungBoy Never Broke Again,https://open.spotify.com/track/2hoR8CosGo9F4dTrE056ea
Things A Man Oughta Know%:%Lainey Wilson,https://open.spotify.com/track/5QS8PNEWbqTEZyQ6e9ZbJf
Hold Me Down%:%YoungBoy Never Broke Again,https://open.spotify.com/track/2TDP5T7TSnD5oVn4Irg585
50 Shots%:%YoungBoy Never Broke Again,https://open.spotify.com/track/22mxylGJ4gUVXc70E7BrPJ
Smoke Strong%:%YoungBoy Never Broke Again,https://open.spotify.com/track/4ysh4U8WPIuKS8Ff1ttSaS
Break Or Make Me%:%YoungBoy Never Broke Again,https://open.spotify.com/track/7CK0O8SL6liw5eoHCRAcJf
Sincerely%:%YoungBoy Never Broke Again,https://open.spotify.com/track/0UFXtWjUoj6mMOcIhuwKoM
I Can't Take It Back%:%YoungBoy Never Broke Again,https://open.spotify.com/track/1BCHhb7Zd9mK4X602uhZi3
Rumors%:%Lizzo Featuring Cardi B,https://open.spotify.com/track/6KgtcmCF9Ky68XC7ezxl3s
Forgiato%:%YoungBoy Never Broke Again,https://open.spotify.com/track/6nGwQVNLVqjUOPdzqIwB7U
Rich Shit%:%YoungBoy Never Broke Again,https://open.spotify.com/track/36Mtea491T9xLpYuaY86EU
N 2 Deep%:%Drake Featuring Future,https://open.spotify.com/track/34D6FJysnQioVingDKufuf
Baddest Thing%:%YoungBoy Never Broke Again,https://open.spotify.com/track/0sr0YMdDTNNr4Lv4VnI3C8
Pipe Down%:%Drake,https://open.spotify.com/track/11pEKMLmavDu8fxOB5QjbQ
Papi's Home%:%Drake,https://open.spotify.com/track/6jy9yJfgCsMHdu2Oz4BGKX
Toxic Punk%:%YoungBoy Never Broke Again,https://open.spotify.com/track/4JPSK2W012QBtOtO3HJl9E
Moon%:%Kanye West,https://open.spotify.com/track/7CC6UbCs4iGsePSzFxYxNn
Wildest Dreams (Taylor's Version)%:%Taylor Swift,https://open.spotify.com/track/1Ov37jtRQ2YNAe8HzfczkL
Arcade%:%Duncan Laurence,https://open.spotify.com/track/1Xi84slp6FryDSCbzq4UCD
Scoop%:%Lil Nas X Featuring Doja Cat,https://open.spotify.com/track/6bpq1jGkVz66Q3LYeoXdjZ?si=5bbc23e328f9477c
Dolla Sign Slime%:%Lil Nas X Featuring Megan Thee Stallion,https://open.spotify.com/track/7zQirOExB0VR8yWUOqYeio
Lonely%:%DaBaby X Lil Wayne,https://open.spotify.com/track/6pmNoWKk0r6zfIjWneJRxR
Dead Right Now%:%Lil Nas X,https://open.spotify.com/track/3grVoZ10bm2jUGpo7BxpuF
Tales Of Dominica%:%Lil Nas X,https://open.spotify.com/track/5S4PZ7AuYlYiVIVik3wHUf
One Of Me%:%Lil Nas X Featuring Elton John,https://open.spotify.com/track/12ZpiGAd2uPgJiofgoZMue
Race My Mind%:%Drake,https://open.spotify.com/track/2Q3jFbyE61mCjS3SkW4toJ
Lost In The Citadel%:%Lil Nas X,https://open.spotify.com/track/6th8IdY4lYeM0QlSQJhhkp
Sun Goes Down%:%Lil Nas X,https://open.spotify.com/track/34eF4BoV8FPk0uhAAoqU7h
7am On Bridle Path%:%Drake,https://open.spotify.com/track/42m3eP1JJhtzffal9B136J?si=ce8299537e7c4765
Off The Grid%:%Kanye West,https://open.spotify.com/track/6LNoArVBBVZzUTUiAX2aKO
In Da Getto%:%J Balvin,https://open.spotify.com/track/1mfeGwrYv5Ls957Gvn4eZc
Skate%:%Silk Sonic (Bruno Mars,https://open.spotify.com/track/7jvCeWOSnJs2N3spqobWnO
Am I Dreaming%:%Lil Nas X Featuring Miley Cyrus,https://open.spotify.com/track/6isTQfKXhNO3EyJd9mSxx8
Don't Go Yet%:%Camila Cabello,https://open.spotify.com/track/5Ay8r4qxJ1OYLS91tWysRf
Country Again%:%Thomas Rhett,https://open.spotify.com/track/3CiF9D8iuVhZWDvvjf8HpG?si=f8ea0fd5443945cd
Range Brothers%:%Baby Keem,https://open.spotify.com/track/0UTyLmkQgPOEIz95OVAJTR
Every Chance I Get%:%DJ Khaled Featuring Lil Baby,https://open.spotify.com/track/1EJIcDYXwSqipW5dFe4uJz
IMY2%:%Drake Featuring Kid Cudi,https://open.spotify.com/track/7eqBsRv7eldDdDEA9MMl5C
Yebba's Heartbreak%:%Drake,https://open.spotify.com/track/1PDP7mLiAMwhfmgIwzhOm2
Get Along Better%:%Drake Featuring Ty Dolla $ign,https://open.spotify.com/track/1bply5aur6hqqxlRJ2IpXP
You Only Live Twice%:%Drake Featuring Lil Wayne,https://open.spotify.com/track/50ceCGZ3oD3U5caQV5bP6f
Lalisa%:%Lisa,https://open.spotify.com/track/7uQZVznj0uQOGC9KhV2Mg6
Fountains%:%Drake Featuring Tems,https://open.spotify.com/track/08XWh5c0BMyD1nKVxxl91z
Single Saturday Night%:%Cole Swindell,https://open.spotify.com/track/34o9D4LnfW8X5df5uC39Yu
We Didn't Have Much%:%Justin Moore,https://open.spotify.com/track/0Iuw6WPws324i7G7sCejTX
Jail%:%Kanye West,https://open.spotify.com/track/6d8HN8MqqbqrEUI2bvx0aG
Fucking Fans%:%Drake,https://open.spotify.com/track/2iYTZLsBpaorXISMAPyVFn
The Remorse%:%Drake,https://open.spotify.com/track/1cCXT1cErAY6tmIqHbodrt
Ok Ok%:%Kanye West,https://open.spotify.com/track/5LuXsO34x6KVlL8OWsxRqk
Junya%:%Kanye West,https://open.spotify.com/track/1jgcODbfAL3tV7tikF6n1j
Believe What I Say%:%Kanye West,https://open.spotify.com/track/0JuSGEldfovcc8IS9va1wa
Jonah%:%Kanye West,https://open.spotify.com/track/35acXjupfWHgtchiS6yAjC
Jesus Lord%:%Kanye West,https://open.spotify.com/track/1LwdWIbfuqlOo8vlHxkyna
