"hitness","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","time_signature","sentiment","duration_min","log_popularity"
TRUE,0.841,0.728,"7",-3.37,"1",0.0484,0.0847,0,0.149,0.43,130.049,4,0.9938,4.06395,9.77180207421064
TRUE,0.336,0.627,"7",-7.463,"1",0.0384,0.164,0,0.0708,0.35,150.273,4,0.9805,4.01845,7.92737589474769
TRUE,0.589,0.472,"8",-8.749,"1",0.0502,0.614,0,0.505,0.898,67.196,4,0.9868,2.10445,6.01615715969835
TRUE,0.754,0.424,"2",-8.463,"1",0.0363,0.643,0,0.0652,0.806,119.705,4,0.8442,2.18288333333333,5.63835466933375
TRUE,0.683,0.375,"0",-13.056,"1",0.0303,0.579,0,0.076,0.888,140.467,4,0.9966,2.25888333333333,7.06390396147207
TRUE,0.24,0.598,"7",-8.435,"1",0.0369,0.766,0,0.117,0.776,201.629,3,0.9973,2.53221666666667,7.04228617193974
TRUE,0.485,0.857,"2",-7.059,"1",0.0442,0.534,0,0.347,0.963,148.749,4,0.9992,3.03933333333333,5.13579843705026
TRUE,0.451,0.24,"1",-14.014,"1",0.0351,0.912,2.45e-06,0.175,0.701,134.009,4,0.8817,1.95245,6.7428806357919
TRUE,0.319,0.21,"1",-15.231,"1",0.0341,0.92,8.06e-05,0.138,0.209,78.696,4,0.8807,3.20266666666667,6.9169132167669
TRUE,0.509,0.812,"8",-5.438,"1",0.0537,0.0013,1.99e-05,0.214,0.689,159.876,4,0.9956,3.82733333333333,8.89409877561569
TRUE,0.735,0.478,"2",-12.472,"1",0.0293,0.189,2.48e-06,0.355,0.947,107.682,4,0.9995,4.38266666666667,7.14084916114952
TRUE,0.529,0.772,"2",-7.013,"1",0.0287,0.403,2.21e-06,0.316,0.853,91.751,4,0.9826,3.02111666666667,4.86753445045558
TRUE,0.724,0.276,"7",-12.25,"1",0.0599,0.76,0,0.116,0.718,112.874,4,0,2.59888333333333,6.65415252018322
TRUE,0.629,0.159,"8",-14.056,"1",0.0495,0.883,0,0.222,0.642,142.157,4,0.996,3.11221666666667,6.96602418710611
FALSE,0.525,0.621,"7",-7.364,"1",0.116,0.0489,0,0.294,0.591,191.9,4,0.9983,3.40155,9.7272037318744
FALSE,0.325,0.759,"8",-7.146,"1",0.053,0.395,0.000362,0.0773,0.36,126.627,4,0.9976,2.77421666666667,3.93182563272433
TRUE,0.317,0.158,"9",-16.485,"1",0.0381,0.673,0.353,0.338,0.247,130.503,3,0.9501,2.958,7.16472037877186
FALSE,0.532,0.401,"5",-10.629,"1",0.0525,0.869,0,0.222,0.45,143.823,4,0.983,2.97155,6.65415252018322
FALSE,0.339,0.214,"4",-11.714,"1",0.0375,0.908,7.47e-06,0.341,0.363,94.775,3,0.9945,3.444,8.62411748373775
TRUE,0.834,0.371,"1",-11.99,"1",0.0358,0.799,0,0.275,0.976,96.628,4,0.987,2.50445,6.96602418710611
FALSE,0.774,0.511,"11",-8.914,"1",0.0319,0.322,0,0.0672,0.771,94.736,4,0.9968,3.79421666666667,7.44775128004791
FALSE,0.773,0.859,"11",-4.913,"1",0.0747,0.0855,0.00018,0.914,0.813,118.458,4,0.7889,5.95445,10.424847495017
TRUE,0.511,0.566,"6",-7.23,"0",0.2,0.349,0,0.34,0.218,83.903,4,0.9986,3.99726666666667,9.46521512145185
FALSE,0.594,0.798,"4",-5.244,"1",0.0844,0.115,0,0.143,0.381,142.049,4,-0.9709,3.19733333333333,9.46521512145185
TRUE,0.76,0.479,"2",-5.574,"1",0.0466,0.556,0,0.0703,0.913,89.911,4,-0.765,2.634,10.3805598894967
TRUE,0.752,0.488,"6",-7.05,"1",0.0705,0.297,9.11e-06,0.0936,0.533,136.041,4,-0.5747,3.36101666666667,10.1699970597551
TRUE,0.616,0.438,"1",-5.968,"1",0.0298,0.356,0,0.24,0.386,135.929,4,0.1326,3.55645,9.15915233520675
TRUE,0.687,0.792,"5",-2.749,"1",0.0452,0.191,0,0.167,0.671,100.015,4,0.9966,3.5715,9.76594813851407
TRUE,0.72,0.706,"1",-4.719,"1",0.0473,0.0684,0,0.166,0.62,133.002,4,0.9864,3.12393333333333,2.63905732961526
TRUE,0.442,0.585,"0",-10.332,"0",0.0964,0.0984,0.391,0.14,0.116,97.565,4,0.9622,3.82355,9.82097513096166
TRUE,0.889,0.496,"4",-6.365,"0",0.0905,0.259,0,0.252,0.544,86.003,4,0.9281,3.0087,11.6551365795861
TRUE,0.657,0.711,"0",-5.355,"1",0.374,0.0135,0,0.221,0.368,86.957,4,0.996,3.69203333333333,9.1573614471853
TRUE,0.572,0.385,"7",-6.362,"1",0.0308,0.371,0,0.231,0.323,95.799,4,0.443,3.59555,7.90544164906029
TRUE,0.579,0.904,"5",-2.729,"1",0.0618,0.193,0,0.064,0.681,82.014,4,0.998,3.18245,10.1404945605095
TRUE,0.834,0.73,"8",-3.714,"1",0.222,0.00513,0,0.124,0.446,155.008,4,0,5.21366666666667,10.1468258111359
FALSE,0.741,0.645,"11",-5.116,"0",0.0963,0.192,0,0.163,0.488,149.07,4,0.9951,3.86606666666667,10.1468258111359
TRUE,0.56,0.68,"6",-7.648,"0",0.321,0.555,0,0.116,0.319,89.391,4,0.9938,2.89666666666667,10.1699970597551
TRUE,0.791,0.587,"3",-5.075,"0",0.0413,0.407,0,0.148,0.536,96.057,4,0.9988,2.99081666666667,8.98017220572501
TRUE,0.511,0.363,"4",-7.65,"0",0.041,0.816,0.0317,0.084,0.169,144.892,4,-0.9018,3.33965,9.00699944795815
TRUE,0.367,0.111,"4",-14.084,"1",0.0972,0.978,3.97e-05,0.0897,0.198,82.642,4,0.9976,3.26795,9.00699944795815
TRUE,0.74,0.488,"1",-7.664,"0",0.27,0.234,0,0.241,0.584,149.042,4,-0.9559,2.00221666666667,2.30258509299405
TRUE,0.551,0.402,"11",-7.431,"1",0.0262,0.676,0,0.0928,0.382,103.313,4,0.9832,3.22,9.68738167857357
TRUE,0.676,0.578,"10",-4.669,"0",0.375,0.0509,0,0.0796,0.698,158.896,4,-0.9466,3.39801666666667,9.7091743828898
TRUE,0.851,0.541,"0",-6.825,"1",0.0505,0.568,0,0.13,0.448,124.959,4,0.9998,3.92575,9.55718717759594
TRUE,0.553,0.586,"11",-6.319,"1",0.0362,0.697,0,0.0813,0.443,126.684,4,0.9707,3.27288333333333,5.50938833662798
TRUE,0.897,0.662,"1",-6.903,"0",0.292,0.0852,0,0.534,0.389,112.511,4,-0.9985,2.42571666666667,9.7091743828898
TRUE,0.717,0.653,"1",-5.634,"1",0.0658,0.229,0,0.101,0.412,106.966,4,0,3.45533333333333,10.1852018532081
FALSE,0.678,0.533,"4",-10.485,"1",0.186,0.462,0.219,0.139,0.323,150.455,4,0.8948,3.01588333333333,9.00699944795815
TRUE,0.494,0.632,"5",-6.89,"1",0.0342,0.682,0,0.0869,0.0797,147.873,4,0.875,4.57821666666667,9.2422265608385
TRUE,0.596,0.854,"7",-5.114,"0",0.463,0.0169,0,0.124,0.152,120.274,4,0.3527,3.3903,9.05263337594615
TRUE,0.68,0.578,"10",-5.804,"1",0.04,0.331,0,0.135,0.341,145.038,4,0.9972,3.85445,10.3805598894967
FALSE,0.383,0.637,"3",-6.993,"1",0.0703,0.0722,0,0.368,0.0827,177.913,4,-0.9962,4.34621666666667,10.939781076805
FALSE,0.574,0.37,"10",-10.803,"1",0.084,0.634,8.76e-05,0.0986,0.354,83.163,4,-0.961,3.52711666666667,9.82097513096166
TRUE,0.964,0.487,"10",-6.071,"0",0.421,0.00127,6.57e-06,0.115,0.107,127.05,4,0.8715,2.56706666666667,9.7091743828898
TRUE,0.579,0.511,"8",-6.788,"1",0.0293,0.254,0,0.099,0.594,78.003,4,0.9851,3.84955,7.77988511507052
TRUE,0.489,0.581,"11",-5.731,"1",0.0281,0.0312,0,0.132,0.494,86.016,4,0.6832,3.27911666666667,9.15915233520675
TRUE,0.95,0.59,"8",-6.508,"0",0.29,0.00534,0,0.11,0.219,130.003,4,-0.9977,3.05878333333333,9.34084218004034
TRUE,0.861,0.603,"8",-5.788,"0",0.176,0.0521,0,0.0924,0.504,98.043,4,0,3.81266666666667,10.1468258111359
TRUE,0.788,0.842,"4",-4.006,"0",0.142,0.121,0.00112,0.166,0.481,190.077,4,0.4631,2.7746,9.34084218004034
