"hitness","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","time_signature","sentiment","scaled_duration","scaled_tempo","scaled_popularity"
TRUE,0.841,0.728,"7",-3.37,"1",0.0484,0.0847,0,0.149,0.43,4,0.9938,0.354181040681063,0.608453379620749,0.152082140605934
TRUE,0.336,0.627,"7",-7.463,"1",0.0384,0.164,0,0.0708,0.35,4,0.9805,0.350215628372598,0.703074339024128,0.0240466235591234
TRUE,0.589,0.472,"8",-8.749,"1",0.0502,0.614,0,0.505,0.898,4,0.9868,0.183406855660445,0.314386372036662,0.00355649624399299
TRUE,0.754,0.424,"2",-8.463,"1",0.0363,0.643,0,0.0652,0.806,4,0.8442,0.190242471163609,0.560057453786663,0.00243750108429764
TRUE,0.683,0.375,"0",-13.056,"1",0.0303,0.579,0,0.076,0.888,4,0.9966,0.196866016997529,0.657195525341892,0.0101403514859215
TRUE,0.24,0.598,"7",-8.435,"1",0.0369,0.766,0,0.117,0.776,3,0.9973,0.220687541487945,0.943350940642004,0.00992349195884874
TRUE,0.485,0.857,"2",-7.059,"1",0.0442,0.534,0,0.347,0.963,4,0.9992,0.264883732077571,0.695944080809593,0.00147464478409465
TRUE,0.451,0.24,"1",-14.014,"1",0.0351,0.912,2.45e-06,0.175,0.701,4,0.8817,0.170159763992604,0.626980822225445,0.00735587515830745
TRUE,0.319,0.21,"1",-15.231,"1",0.0341,0.92,8.06e-05,0.138,0.209,4,0.8807,0.279118545492575,0.36819081394424,0.0087541853888725
TRUE,0.509,0.812,"8",-5.438,"1",0.0537,0.0013,1.99e-05,0.214,0.689,4,0.9956,0.333559444145061,0.748003387340517,0.0632261179831485
TRUE,0.735,0.478,"2",-12.472,"1",0.0293,0.189,2.48e-06,0.355,0.947,4,0.9995,0.381957809756076,0.503806079434071,0.0109514061171735
TRUE,0.529,0.772,"2",-7.013,"1",0.0287,0.403,2.21e-06,0.316,0.853,4,0.9826,0.263296114622204,0.429270552127147,0.00112766954077827
TRUE,0.724,0.276,"7",-12.25,"1",0.0599,0.76,0,0.116,0.718,4,0,0.226497669412436,0.528097615293562,0.00673131972033795
TRUE,0.629,0.159,"8",-14.056,"1",0.0495,0.883,0,0.222,0.642,4,0.996,0.271235654431021,0.665102438978745,0.00919484394788432
FALSE,0.525,0.621,"7",-7.364,"1",0.116,0.0489,0,0.294,0.591,4,0.9983,0.296451609623315,0.897832382788193,0.145448552245797
FALSE,0.325,0.759,"8",-7.146,"1",0.053,0.395,0.000362,0.0773,0.36,4,0.9976,0.241778305853849,0.592443049167903,0.000442393435228396
TRUE,0.317,0.158,"9",-16.485,"1",0.0381,0.673,0.353,0.338,0.247,3,0.9501,0.257795376009691,0.610577485414318,0.0112159747402023
FALSE,0.532,0.401,"5",-10.629,"1",0.0525,0.869,0,0.222,0.45,4,0.983,0.258976284510344,0.67289706508466,0.00673131972033795
